id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal	BMI
21	Ragnhild Margrethe Aamodt	F	1981	163	nan	Norway	NOR	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Gold	
49	Moonika Aava	F	1980	168	65	Estonia	EST	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA	23.03004535147392
63	Jos Luis Abajo Gmez	M	1978	194	87	Spain	ESP	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Individual	Bronze	23.11616537357849
67	Mariya Vasilyevna Abakumova (-Tarabina)	F	1986	179	80	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	Silver	24.9680097375238
69	Tamara Abalde Daz	F	1989	185	72	Spain	ESP	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA	21.0372534696859
72	Aleksey Aleksandrovich Abalmasov	M	1980	180	83	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Gold	25.61728395061728
73	Luc Abalo	M	1985	182	86	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold	25.963047941069917
92	Ignazio Abate	M	1987	180	73	Italy	ITA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA	22.530864197530864
93	Jol Marc Abati	M	1970	190	85	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold	23.545706371191134
127	Shakeel Abbasi	M	1984	165	60	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA	22.038567493112946
129	Ruslan Abbasov	M	1986	181	74	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 100 metres	NA	22.587833094227893
130	Tural Abbasov	M	1990	182	76	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA	22.944088878154812
