id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal	age
21	Ragnhild Margrethe Aamodt	F	1981	163	nan	Norway	NOR	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Gold	27
49	Moonika Aava	F	1980	168	65	Estonia	EST	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA	28
63	Jos Luis Abajo Gmez	M	1978	194	87	Spain	ESP	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Individual	Bronze	30
67	Mariya Vasilyevna Abakumova (-Tarabina)	F	1986	179	80	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	Silver	22
69	Tamara Abalde Daz	F	1989	185	72	Spain	ESP	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA	19
72	Aleksey Aleksandrovich Abalmasov	M	1980	180	83	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Gold	28
73	Luc Abalo	M	1985	182	86	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold	23
92	Ignazio Abate	M	1987	180	73	Italy	ITA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA	21
93	Jol Marc Abati	M	1970	190	85	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold	38
127	Shakeel Abbasi	M	1984	165	60	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA	24
129	Ruslan Abbasov	M	1986	181	74	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 100 metres	NA	22
130	Tural Abbasov	M	1990	182	76	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA	18
143	Desmond "Des" Abbott	M	1987	184	87	Australia	AUS	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Bronze	21
144	Geoffrey Grant Abbott	M	1985	179	80	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA	23
148	Kathryn "Katie" Abbott	F	1987	164	63	Canada	CAN	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	NA	21
153	Monica Cecilia Abbott	F	1985	191	88	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver	23
