id	name	sport	event	sex	birthyear	height	weight	team	noc	games	year	season	city	medal
21	Ragnhild Margrethe Aamodt	Handball	Handball Women's Handball	F	1981	163	nan	Norway	NOR	2008 Summer	2008	Summer	Beijing	Gold
49	Moonika Aava	Athletics	Athletics Women's Javelin Throw	F	1980	168	65	Estonia	EST	2008 Summer	2008	Summer	Beijing	NA
63	Jos Luis Abajo Gmez	Fencing	Fencing Men's epee, Individual	M	1978	194	87	Spain	ESP	2008 Summer	2008	Summer	Beijing	Bronze
67	Mariya Vasilyevna Abakumova (-Tarabina)	Athletics	Athletics Women's Javelin Throw	F	1986	179	80	Russia	RUS	2008 Summer	2008	Summer	Beijing	Silver
69	Tamara Abalde Daz	Basketball	Basketball Women's Basketball	F	1989	185	72	Spain	ESP	2008 Summer	2008	Summer	Beijing	NA
72	Aleksey Aleksandrovich Abalmasov	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	M	1980	180	83	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Gold
73	Luc Abalo	Handball	Handball Men's Handball	M	1985	182	86	France	FRA	2008 Summer	2008	Summer	Beijing	Gold
92	Ignazio Abate	Football	Football Men's Football	M	1987	180	73	Italy	ITA	2008 Summer	2008	Summer	Beijing	NA
93	Jol Marc Abati	Handball	Handball Men's Handball	M	1970	190	85	France	FRA	2008 Summer	2008	Summer	Beijing	Gold
127	Shakeel Abbasi	Hockey	Hockey Men's Hockey	M	1984	165	60	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	NA
129	Ruslan Abbasov	Athletics	Athletics Men's 100 metres	M	1986	181	74	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	NA
130	Tural Abbasov	Swimming	Swimming Men's 50 metres Freestyle	M	1990	182	76	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	NA
143	Desmond "Des" Abbott	Hockey	Hockey Men's Hockey	M	1987	184	87	Australia	AUS	2008 Summer	2008	Summer	Beijing	Bronze
144	Geoffrey Grant Abbott	Hockey	Hockey Men's Hockey	M	1985	179	80	South Africa	RSA	2008 Summer	2008	Summer	Beijing	NA
148	Kathryn "Katie" Abbott	Sailing	Sailing Women's Three Person Keelboat	F	1987	164	63	Canada	CAN	2008 Summer	2008	Summer	Beijing	NA
153	Monica Cecilia Abbott	Softball	Softball Women's Softball	F	1985	191	88	United States	USA	2008 Summer	2008	Summer	Beijing	Silver
154	Khadija Abbouda	Archery	Archery Women's Individual	F	1968	165	57	Morocco	MAR	2008 Summer	2008	Summer	Beijing	NA
156	Mahmoud Abd El-Kader	Volleyball	Volleyball Men's Volleyball	M	1985	195	94	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
157	Mohamed Ibrahim Abd El-Salam	Handball	Handball Men's Handball	M	1982	192	83	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
158	Noha Abd Rabo	Taekwondo	Taekwondo Women's Heavyweight	F	1987	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
159	Reem Wa'il Abdalazem Abdalazem El-Bossaty	Synchronized Swimming	Synchronized Swimming Women's Duet	F	1993	167	60	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
159	Reem Wa'il Abdalazem Abdalazem El-Bossaty	Synchronized Swimming	Synchronized Swimming Women's Team	F	1993	167	60	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
160	Ali Abdalla Afringi	Athletics	Athletics Men's 5,000 metres	M	1983	163	57	Eritrea	ERI	2008 Summer	2008	Summer	Beijing	NA
198	Walid Abdel Maksoud	Handball	Handball Men's Handball	M	1979	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
203	Ahmed Abdel Naeim	Volleyball	Volleyball Men's Volleyball	M	1985	197	87	Egypt	EGY	2008 Summer	2008	Summer	Beijing	NA
