name	games	sport	medal
Ragnhild Margrethe Aamodt	2008 Summer	Handball	Gold
Moonika Aava	2008 Summer	Athletics	NA
Jos Luis Abajo Gmez	2008 Summer	Fencing	Bronze
Mariya Vasilyevna Abakumova (-Tarabina)	2008 Summer	Athletics	Silver
Tamara Abalde Daz	2008 Summer	Basketball	NA
Aleksey Aleksandrovich Abalmasov	2008 Summer	Canoeing	Gold
Luc Abalo	2008 Summer	Handball	Gold
Ignazio Abate	2008 Summer	Football	NA
Jol Marc Abati	2008 Summer	Handball	Gold
Shakeel Abbasi	2008 Summer	Hockey	NA
Ruslan Abbasov	2008 Summer	Athletics	NA
Tural Abbasov	2008 Summer	Swimming	NA
Desmond "Des" Abbott	2008 Summer	Hockey	Bronze
Geoffrey Grant Abbott	2008 Summer	Hockey	NA
Kathryn "Katie" Abbott	2008 Summer	Sailing	NA
Monica Cecilia Abbott	2008 Summer	Softball	Silver
Khadija Abbouda	2008 Summer	Archery	NA
Mahmoud Abd El-Kader	2008 Summer	Volleyball	NA
Mohamed Ibrahim Abd El-Salam	2008 Summer	Handball	NA
Noha Abd Rabo	2008 Summer	Taekwondo	NA
Reem Wa'il Abdalazem Abdalazem El-Bossaty	2008 Summer	Synchronized Swimming	NA
Reem Wa'il Abdalazem Abdalazem El-Bossaty	2008 Summer	Synchronized Swimming	NA
Ali Abdalla Afringi	2008 Summer	Athletics	NA
Walid Abdel Maksoud	2008 Summer	Handball	NA
Ahmed Abdel Naeim	2008 Summer	Volleyball	NA
Yasser Abdel Rahman Sakr	2008 Summer	Wrestling	NA
Samy Abdel Razek	2008 Summer	Shooting	NA
Shaimaa Abdel-Latif-Hashad	2008 Summer	Shooting	NA
Mahmod Abdelaly	2008 Summer	Shooting	NA
Aziza Abdelfattah	2008 Summer	Synchronized Swimming	NA
Abdalla Abdelgadir El-Sheikh	2008 Summer	Athletics	NA
Mohamed Abdellah	2008 Summer	Shooting	NA
Abouelfetoh Abdelrazek	2008 Summer	Handball	NA
Mouni Abderrahim	2008 Summer	Volleyball	NA
Youcef Abdi	2008 Summer	Athletics	NA
Abdihakim "Abdi" Abdirahman	2008 Summer	Athletics	NA
Ali Abdo	2008 Summer	Wrestling	NA
Hamza Abdo	2008 Summer	Swimming	NA
Shaimaa Abdul Aziz	2008 Summer	Table Tennis	NA
Dana Abdul Razak (Hussain-)	2008 Summer	Athletics	NA
Rukayatu "Ruky" Abdulai	2008 Summer	Athletics	NA
Ahmad Hassan Abdullah	2008 Summer	Athletics	NA
lqar Abdulov	2008 Summer	Wrestling	NA
Abir Abdulrahman Khalil Mahmoud Khalil	2008 Summer	Weightlifting	NA
Shaza Yahia Nazih Abdulrahman El-Sayed	2008 Summer	Synchronized Swimming	NA
Mohamed Abdultwab Ibrahim Abd El-Baki	2008 Summer	Weightlifting	NA
Rasul Abduraim	2008 Summer	Taekwondo	NA
Yusup Abdusalomov	2008 Summer	Wrestling	Silver
Shinnosuke Abe	2008 Summer	Baseball	NA
Soha Abed Elaal	2008 Summer	Archery	NA
Brooke Abel	2008 Summer	Synchronized Swimming	NA
Jennifer Abel	2008 Summer	Diving	NA
Katja Abel	2008 Summer	Gymnastics	NA
Katja Abel	2008 Summer	Gymnastics	NA
Katja Abel	2008 Summer	Gymnastics	NA
Katja Abel	2008 Summer	Gymnastics	NA
Katja Abel	2008 Summer	Gymnastics	NA
Arthur Abele	2008 Summer	Athletics	NA
Elvan Abeylegesse	2008 Summer	Athletics	Silver
Elvan Abeylegesse	2008 Summer	Athletics	NA
Koutoua Francis Abia	2008 Summer	Canoeing	NA
Koutoua Francis Abia	2008 Summer	Canoeing	NA
Pablo Abin Vicen	2008 Summer	Badminton	NA
Sagat Abikeyeva	2008 Summer	Judo	NA
Mitsuhiro Abiko	2008 Summer	Athletics	NA
Inga Eduardovna Abitova	2008 Summer	Athletics	NA
Ashraf Abou El-Hassan	2008 Summer	Volleyball	NA
Ibrahim Mohamedin Aboubaker	2008 Summer	Athletics	NA
Ara Abrahamian	2008 Summer	Wrestling	NA
Clyde Abrahams	2008 Summer	Hockey	NA
Andrey Viktorovich Abramov	2008 Summer	Archery	NA
Andrey Viktorovich Abramov	2008 Summer	Archery	NA
Arnaldo Lus Isaas Abrantes	2008 Summer	Athletics	NA
Morais Santos Abreu	2008 Summer	Beach Volleyball	NA
Svetlana Olegovna Abrosimova	2008 Summer	Basketball	Bronze
Julien Absalon	2008 Summer	Cycling	Gold
Najmeh Abtin	2008 Summer	Archery	NA
Mohamed Abu Abdullah	2008 Summer	Athletics	NA
Nagmeldin Ali Abubakr	2008 Summer	Athletics	NA
Folashade "Shade" Abugan	2008 Summer	Athletics	NA
Folashade "Shade" Abugan	2008 Summer	Athletics	NA
Kanat Kalizhanovich Abutalipov	2008 Summer	Boxing	NA
Irina Alekseyevna Abysova	2008 Summer	Triathlon	NA
Andreea Roxana Acatrinei	2008 Summer	Gymnastics	NA
Andreea Roxana Acatrinei	2008 Summer	Gymnastics	Bronze
Andreea Roxana Acatrinei	2008 Summer	Gymnastics	NA
Andreea Roxana Acatrinei	2008 Summer	Gymnastics	NA
Jos Eduardo Acevedo Herrera	2008 Summer	Athletics	NA
Sharath Kamal Achanta	2008 Summer	Table Tennis	NA
Onochie Lawrence "Larry" Achike	2008 Summer	Athletics	NA
Haykel Al-Achouri	2008 Summer	Wrestling	NA
Lautaro Germn Acosta	2008 Summer	Football	Gold
Luz Mercedes Acosta Valdez	2008 Summer	Weightlifting	NA
Osmay Acosta Duarte	2008 Summer	Boxing	Bronze
Roslandy del Valle Acosta Alvarado	2008 Summer	Volleyball	NA
Robert Acquafresca	2008 Summer	Football	NA
Amelia Lynn "Amy" Acuff (-Harvey)	2008 Summer	Athletics	NA
