name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
Ragnhild Margrethe Aamodt	F	1981	163	nan	Norway	NOR	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Gold
Moonika Aava	F	1980	168	65	Estonia	EST	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA
Jos Luis Abajo Gmez	M	1978	194	87	Spain	ESP	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Individual	Bronze
Mariya Vasilyevna Abakumova (-Tarabina)	F	1986	179	80	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	Silver
Tamara Abalde Daz	F	1989	185	72	Spain	ESP	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
Aleksey Aleksandrovich Abalmasov	M	1980	180	83	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Gold
Luc Abalo	M	1985	182	86	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold
Ignazio Abate	M	1987	180	73	Italy	ITA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Jol Marc Abati	M	1970	190	85	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold
Shakeel Abbasi	M	1984	165	60	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Ruslan Abbasov	M	1986	181	74	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 100 metres	NA
Tural Abbasov	M	1990	182	76	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA
Desmond "Des" Abbott	M	1987	184	87	Australia	AUS	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Bronze
Geoffrey Grant Abbott	M	1985	179	80	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Kathryn "Katie" Abbott	F	1987	164	63	Canada	CAN	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	NA
Monica Cecilia Abbott	F	1985	191	88	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver
Khadija Abbouda	F	1968	165	57	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Individual	NA
Mahmoud Abd El-Kader	M	1985	195	94	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
Mohamed Ibrahim Abd El-Salam	M	1982	192	83	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	NA
Noha Abd Rabo	F	1987	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Heavyweight	NA
Reem Wa'il Abdalazem Abdalazem El-Bossaty	F	1993	167	60	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
