id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
49	Moonika Aava	F	1980	168	65	Estonia	EST	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA
67	Mariya Vasilyevna Abakumova (-Tarabina)	F	1986	179	80	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	Silver
129	Ruslan Abbasov	M	1986	181	74	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 100 metres	NA
160	Ali Abdalla Afringi	M	1983	163	57	Eritrea	ERI	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 5,000 metres	NA
234	Abdalla Abdelgadir El-Sheikh	M	1987	170	58	Sudan	SUD	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 1,500 metres	NA
252	Youcef Abdi	M	1978	178	66	Australia	AUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 3,000 metres Steeplechase	NA
256	Abdihakim "Abdi" Abdirahman	M	1977	178	61	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 10,000 metres	NA
299	Dana Abdul Razak (Hussain-)	F	1986	163	56	Iraq	IRQ	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA
314	Rukayatu "Ruky" Abdulai	F	1986	180	59	Canada	CAN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Long Jump	NA
321	Ahmad Hassan Abdullah	M	1981	164	55	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 10,000 metres	NA
402	Arthur Abele	M	1986	184	85	Germany	GER	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Decathlon	NA
428	Elvan Abeylegesse	F	1983	159	40	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 5,000 metres	Silver
428	Elvan Abeylegesse	F	1983	159	40	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 10,000 metres	NA
440	Mitsuhiro Abiko	M	1989	169	62	Japan	JPN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 400 metres Relay	NA
449	Inga Eduardovna Abitova	F	1982	164	58	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 10,000 metres	NA
488	Ibrahim Mohamedin Aboubaker	M	1983	190	65	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Triple Jump	NA
556	Arnaldo Lus Isaas Abrantes	M	1987	183	72	Portugal	POR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA
590	Mohamed Abu Abdullah	M	1981	173	74	Bangladesh	BAN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 100 metres	NA
600	Nagmeldin Ali Abubakr	M	1986	172	63	Sudan	SUD	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 400 metres	NA
604	Folashade "Shade" Abugan	F	1991	150	64	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 400 metres	NA
604	Folashade "Shade" Abugan	F	1991	150	64	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 400 metres Relay	NA
651	Jos Eduardo Acevedo Herrera	M	1986	179	65	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA
675	Onochie Lawrence "Larry" Achike	M	1975	188	75	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Triple Jump	NA
737	Amelia Lynn "Amy" Acuff (-Harvey)	F	1975	188	66	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's High Jump	NA
824	Luke Kendall Adams	M	1977	189	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 20 kilometres Walk	NA
824	Luke Kendall Adams	M	1977	189	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 50 kilometres Walk	NA
846	Valerie Kasanita Adams-Vili (-Price)	F	1985	193	120	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Shot Put	Gold
888	Jangy McKinley Addy	M	1985	188	88	Liberia	LBR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Decathlon	NA
929	Berhane Adere Debala	F	1973	170	50	Ethiopia	ETH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA
1024	Elisngela Maria Adriano	F	1972	180	96	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Discus Throw	NA
1164	Naroa Agirre Kamio	F	1979	177	63	Spain	ESP	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Pole Vault	NA
1204	Lindy Brigitte Agricole (Leveau-)	F	1974	175	70	Seychelles	SEY	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA
1234	Alessandra Aguilar Morn	F	1978	165	50	Spain	ESP	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA
1269	Jessica Carolina Aguilera Aguilera	F	1985	167	57	Nicaragua	NCA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA
1316	Feta Ahamada	F	1987	160	50	Comoros	COM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA
1419	Zemzem Ahmed Deko	F	1985	170	53	Ethiopia	ETH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 3,000 metres Steeplechase	NA
1527	Souad At Salem (-Mahour-Bacha)	F	1979	158	50	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA
1539	Marina Aleksandrovna Aitova (Korzhova-)	F	1983	177	58	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's High Jump	NA
1567	Yukiko Akaba	F	1980	158	43	Japan	JPN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 5,000 metres	NA
1567	Yukiko Akaba	F	1980	158	43	Japan	JPN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 10,000 metres	NA
1606	Patsy Serafina Akeli	F	1979	175	89	Samoa	SAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA
1697	Halil Akka	M	1983	175	58	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 3,000 metres Steeplechase	NA
1786	Ali Ahmed Al-Amri	M	1985	155	51	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 3,000 metres Steeplechase	NA
1817	Mohamed Mutlaq Khalaf Al-Azemi	M	1982	178	64	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 800 metres	NA
1845	Fadwa Al-Bouza	F	1990	173	58	Syria	SYR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres Hurdles	NA
1856	Sultan Mubarak M. Al-Dawoodi	M	1985	192	86	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Discus Throw	NA
1875	Rashid Shafi Al-Dosari	M	1981	198	130	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Discus Throw	NA
1910	Rakia Al-Gassra	F	1983	170	65	Bahrain	BRN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 200 metres	NA
1920	Sultan Abdulmajeed E. Al-Habshi	M	1983	190	92	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Shot Put	NA
1936	Khalil Ahmed Al-Hanahneh	M	1980	171	70	Jordan	JOR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA
2044	Nader Abdullah Al-Massri	M	1980	160	58	Palestine	PLE	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 5,000 metres	NA
2059	Riyadh Al-Mustafa	M	1975	171	64	Bahrain	BRN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Marathon	NA
2090	Moukheld Mahil F. Al-Outaibi	M	1976	163	60	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 5,000 metres	NA
