id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
371	Shinnosuke Abe	M	1979	179	91	Japan	JPN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
1022	Sharnol Leonard Adriana	M	1971	185	95	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
3797	Brett Franklin Anderson	M	1988	193	104	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
4652	Norichika Aoki	M	1982	175	80	Japan	JPN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
4791	Takahiro Arai	M	1977	189	95	Japan	JPN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
4803	Masahiro Araki	M	1978	180	74	Japan	JPN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
5298	Jacob Joseph "Jake" Arrieta	M	1986	193	102	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
6098	James B. Avery	M	1984	189	95	Canada	CAN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
7814	Brian David Barden	M	1981	180	86	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
9369	Christopher Stephen "Chris" Begg	M	1980	191	93	Canada	CAN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
9625	Alexei Bell Quintero	M	1984	176	87	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Silver
10512	David Franciscus Johan Bergman	M	1982	188	100	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
13187	Bong Jung-Keun	M	1980	190	95	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
14335	Leon Boyd	M	1984	198	95	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
15563	Matthew Benjamin "Matt" Brown	M	1983	182	93	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
15958	Bu Tao	M	1983	180	86	China	CHN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
16772	Timothy Joseph "T. J." Burton	M	1983	191	90	Canada	CAN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
17279	Trevor John Cahill	M	1988	193	99	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
19340	Frederich Cepeda Cruz	M	1980	177	94	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Silver
19750	Chang Chien-Ming	M	1980	178	75	Chinese Taipei	TPE	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
19752	Chang Chih-Chia	M	1980	188	85	Chinese Taipei	TPE	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
20170	Chen Chin-Feng	M	1978	183	90	Chinese Taipei	TPE	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
20188	Chen Feng-Min	M	1978	172	80	Chinese Taipei	TPE	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
20223	Chen Junyi	M	1982	186	75	China	CHN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
20230	Chen Kun	M	1980	187	88	China	CHN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
20279	Chen Wei-Yin	M	1985	185	88	Chinese Taipei	TPE	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
20370	Cheng Kai-Wen	M	1988	175	74	Chinese Taipei	TPE	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
20627	Chiang Chih-Hsien	M	1988	182	90	Chinese Taipei	TPE	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
21756	Richard Keith "Stubby" Clapp	M	1973	173	80	Canada	CAN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
23033	Robbie "Rob" Cordemans	M	1975	190	93	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
23082	Rhal Paul Joseph Cormier	M	1967	178	85.5	Canada	CAN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
23177	David Ross Corrente	M	1984	185	93	Canada	CAN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
24297	Jeremy Michael Cummings	M	1977	188	93	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
25412	Yu Darvish (Darvishsefad-)	M	1987	196	85	Japan	JPN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
25594	David Lawrence Davidson	M	1984	186	87	Canada	CAN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
26021	Yurendell Eithel de Caster	M	1980	185	102	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
26212	Sidney de Jong	M	1979	186	91	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
27830	Alfredo Despaigne Rodrguez	M	1986	177	80	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Silver
29321	Jason Thomas Donald	M	1985	185	86	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
29902	Dorotheus Wilhelmus "Dave" Draijer	M	1974	196	94	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
30412	Brian Matthew Duensing	M	1983	183	93	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
30924	Michael Steven "Mike" Duursma	M	1978	175	79	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
30940	Giorvis Duvergel Rojas	M	1980	175	75	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Silver
32634	Bryan Stanley Tjark Engelhardt	M	1982	179	104	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
32729	Michel Enrquez Tamayo	M	1979	175	80	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Silver
34608	Feng Fei	M	1983	180	80	China	CHN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
36553	William Dexter Fowler	M	1986	198	79	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
37354	Emerson Andrew Frostad	M	1983	185	90	Canada	CAN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
37485	Kyuji Fujikawa	M	1980	184	83	Japan	JPN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
38095	John Christopher Gall	M	1978	183	91	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
38336	Gang Min-Ho	M	1986	185	98	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
38547	Emmanuel Garcia	M	1986	188	86	Canada	CAN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
