id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
69	Tamara Abalde Daz	F	1989	185	72	Spain	ESP	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
580	Svetlana Olegovna Abrosimova	F	1980	188	77	Russia	RUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Bronze
1023	Adriana "Adrianinha" Moiss Pinto	F	1979	170	65	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
1067	Hamed Afagh Eslamieh	M	1983	188	82	Iran	IRI	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
1240	Elisabeth "Elisa" Aguilar Lpez	F	1977	172	75	Spain	ESP	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
2971	Carlos Domingos Bendinha de Almeida	M	1977	192	92	Angola	ANG	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
3368	Felizardo Silvestre Bumba Ambrsio	M	1988	201	95	Angola	ANG	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
3442	Amir Amini	M	1984	190	83	Iran	IRI	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
3711	David Emil Andersen	M	1980	211	102	Australia	AUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
4474	Christopher John "Chris" Anstey	M	1975	213	112	Australia	AUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
4505	Carmelo Kyan Anthony	M	1984	203	109	United States	USA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	Gold
4616	Nataliya Valeryevna Anufriyenko	F	1985	173	63	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
5971	Seimone Delicia Augustus	F	1984	183	74	United States	USA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Gold
6472	Elna Babkina	F	1989	176	65	Latvia	LAT	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
6767	Fatoumata Bagayoko	F	1988	178	nan	Mali	MLI	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
7527	Marko Bani	M	1979	204	104	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
