id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
568	Morais Santos Abreu	M	1968	188	73	Angola	ANG	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
3496	Eugenio Amore	M	1972	194	92	Italy	ITA	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
3615	Ana Paula Rodrigues Connelly (-Rodrigues Henkel)	F	1972	183	68	Brazil-2	BRA	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	NA
5416	Vasiliki "Viky" Arvaniti	F	1985	177	68	Greece-2	GRE	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	NA
5457	Kentaro Asahi	M	1976	199	95	Japan	JPN	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
5950	Judith Augoustides (Deister-)	F	1975	187	74	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	NA
7631	Mariano Joaqun Baracetti	M	1974	194	92	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
7993	Tamsin Barnett-Hinchley	F	1980	193	75	Australia	AUS	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	NA
8211	Dmitry Nikolayevich Barsuk	M	1980	193	86	Russia	RUS	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
12683	Emiel Nicolaas Paulus Boersma	M	1981	205	85	Netherlands-2	NED	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
14600	Nicole Christine Branagh	F	1979	188	73	United States-2	USA	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	NA
15128	Julius Brink	M	1982	186	85	Germany-2	GER	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
17867	Bibiana Candelas Ramrez	F	1984	196	78	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	NA
22632	Martn Alejo Conde	M	1972	186	90	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
22859	Natalie Louise Cook	F	1975	181	73	Australia	AUS	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	NA
23770	Milagros Crespo Valle	F	1979	166	64	Cuba-1	CUB	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	NA
24981	Phillip Peter "Phil" Dalhausser	M	1980	206	93	United States-1	USA	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	Gold
28404	Christoph Dieckmann	M	1976	198	86	Germany-2	GER	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
