id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
620	Kanat Kalizhanovich Abutalipov	M	1983	168	56	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Bantamweight	NA
723	Osmay Acosta Duarte	M	1985	188	91	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Heavyweight	Bronze
1733	Merey Akshalov	M	1988	179	60	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Lightweight	NA
2635	Robert Leodan Alfonso Acea	M	1987	193	102	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Super-Heavyweight	NA
2668	Aziz Ali	M	1981	173	81	Kenya	KEN	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Heavyweight	NA
2697	Sadam Ali	M	1989	175	60	United States	USA	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Lightweight	NA
3152	Elider lvarez Beitar	M	1984	183	81	Colombia	COL	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Heavyweight	NA
3283	Mohamed Amanissi	M	1981	nan	107	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Super-Heavyweight	NA
4033	Demetrius Cesar Andrade	M	1988	183	69	United States	USA	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Welterweight	NA
4947	Sailom Ard	M	1986	172	57	Thailand	THA	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Featherweight	NA
5092	Mohamed Al-Arjaoui	M	1987	185	91	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Heavyweight	NA
5320	McJoe Arroyo Acevedo	M	1986	163	54	Puerto Rico	PUR	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Bantamweight	NA
5321	McWilliams Arroyo Acevedo	M	1986	163	51	Puerto Rico	PUR	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Flyweight	NA
5355	Bakhtiyar Garifulayevich Artayev	M	1983	183	75	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Middleweight	NA
5778	Abbos Atayev	M	1986	186	75	Uzbekistan	UZB	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Heavyweight	NA
5958	Azea Augustama	M	1983	180	81	Haiti	HAI	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Heavyweight	NA
6269	David Valeryevich Ayrapetyan	M	1984	158	49	Russia	RUS	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Flyweight	NA
6733	Baek Jong-Seop	M	1980	172	60	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Lightweight	NA
7102	Hosam Bakr Hosam Abdin	M	1986	178	69	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Welterweight	NA
7126	Georgiy Ruslanovich Balakshin	M	1980	161	51	Russia	RUS	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Flyweight	Bronze
7136	Andrey Vladimirovich Balanov	M	1976	174	69	Russia	RUS	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Welterweight	NA
7582	Carlos Delvis Banteux Surez	M	1987	174	69	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Welterweight	Silver
7967	Patrick Gerard "Paddy" Barnes	M	1987	163	49	Ireland	IRL	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Flyweight	Bronze
8436	Aliasker Bashirov	M	1979	180	69	Turkmenistan	TKM	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Welterweight	NA
8611	Thato Batshegi	M	1988	176	57	Botswana	BOT	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Featherweight	NA
9015	Daniel "Dan" Beahan	M	1984	188	93	Australia	AUS	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Super-Heavyweight	NA
