id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
72	Aleksey Aleksandrovich Abalmasov	M	1980	180	83	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Gold
432	Koutoua Francis Abia	M	1966	180	80	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 500 metres	NA
432	Koutoua Francis Abia	M	1966	180	80	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 1,000 metres	NA
1251	Karel Aguilar Chacn	M	1980	175	85	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	NA
1251	Karel Aguilar Chacn	M	1980	175	85	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	NA
2734	Adnan Aliev	M	1984	182	85	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	NA
2734	Adnan Aliev	M	1984	182	85	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	NA
3093	Lutz Altepost	M	1982	193	92	Germany	GER	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Bronze
6378	Khathia B	F	1991	168	61	Senegal	SEN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Singles, 500 metres	NA
7189	Egidijus Balinas	M	1975	188	88	Lithuania	LTU	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Doubles, 500 metres	NA
7695	Pawe Baraszkiewicz	M	1977	174	86	Poland	POL	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, 500 metres	NA
7695	Pawe Baraszkiewicz	M	1977	174	86	Poland	POL	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	NA
8056	Mylanie Barr	F	1979	178	58	Canada	CAN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Doubles, 500 metres	NA
8770	Pawe Zbigniew Baumann	M	1983	182	85	Poland	POL	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	NA
9065	Gabriel Beauchesne-Svigny	M	1985	182	84	Canada	CAN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	NA
9065	Gabriel Beauchesne-Svigny	M	1985	182	84	Canada	CAN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	NA
9066	Genevive Beauchesne-Svigny	F	1986	170	68	Canada	CAN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Fours, 500 metres	NA
9322	Istvn Be	M	1972	184	93	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	NA
9655	Robin "Rob" Bell	M	1978	193	87	Australia	AUS	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, Slalom	Bronze
9721	Mark Bellofiore	M	1983	173	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, Slalom	NA
10032	Franco Benedini	M	1978	185	77	Italy	ITA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	NA
10045	Andrea Benetti	M	1980	174	68	Italy	ITA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, Slalom	NA
10138	Zoltn Benk	M	1983	182	85	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 1,000 metres	NA
10273	Jan Benzien	M	1982	180	75	Germany	GER	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, Slalom	NA
10615	Rudolf Berking-Williams	M	1979	186	86	Samoa	SAM	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 500 metres	NA
10615	Rudolf Berking-Williams	M	1979	186	86	Samoa	SAM	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 1,000 metres	NA
11175	Serhiy Oleksandrovych Bezuhliy	M	1985	176	77	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	NA
11411	Krzysztof Dariusz Bieryt	M	1974	178	80	Poland	POL	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, Slalom	NA
12049	Jana Blahov	F	1985	182	69	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Doubles, 500 metres	NA
12247	Kasper Bleibach	M	1984	184	90	Denmark	DEN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 500 metres	NA
12741	Aleksandr Viktorovich Bogdanovich	M	1982	191	97	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	NA
12741	Aleksandr Viktorovich Bogdanovich	M	1982	191	97	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	Gold
12742	Andrey Viktorovich Bogdanovich	M	1988	193	87	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	NA
12742	Andrey Viktorovich Bogdanovich	M	1988	193	87	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	Gold
13190	Jennifer Bongardt	F	1983	168	63	Germany	GER	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Singles, Slalom	NA
13963	Sarah Boudens (-Baillie)	F	1983	163	67	Canada	CAN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Singles, Slalom	NA
14017	Benjamin Kudjow Thomas Boukpeti	M	1981	176	73	Togo	TOG	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, Slalom	Bronze
14176	Robert Adriaan Bouten	M	1985	184	78	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, Slalom	NA
14424	Gbor Bozsik	M	1982	185	89	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	NA
14462	Jules Timothy "Tim" Brabants	M	1977	189	88	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 500 metres	Bronze
14462	Jules Timothy "Tim" Brabants	M	1977	189	88	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 1,000 metres	Gold
14746	Martin Braud	M	1982	175	69	France	FRA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, Slalom	NA
15240	Norman Brckl	M	1987	183	90	Germany	GER	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Bronze
17348	David Cal Figueroa	M	1983	183	86	Spain	ESP	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, 500 metres	Silver
17348	David Cal Figueroa	M	1983	183	86	Spain	ESP	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, 1,000 metres	Silver
17649	Dimas Camilo Corts	M	1990	164	62	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	NA
17649	Dimas Camilo Corts	M	1990	164	62	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	NA
18525	Cyrille Carr	M	1984	184	75	France	FRA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Doubles, 1,000 metres	NA
18671	James Cartwright (-Garland)	M	1976	178	72	Canada	CAN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, Slalom	NA
19290	Siboniso Master Cele	M	1985	168	74	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, Slalom	NA
20080	Yuriy Volodymyrovych Cheban	M	1986	185	93	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, 500 metres	Bronze
20080	Yuriy Volodymyrovych Cheban	M	1986	185	93	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, 1,000 metres	NA
20336	Chen Zhongyun	M	1973	182	82	China	CHN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	NA
20828	Iosif Chiril	M	1983	186	91	Romania	ROU	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	NA
21099	Magorzata Chojnacka	F	1983	nan	nan	Poland	POL	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Singles, 500 metres	NA
21174	Maialen Chourraut Yurramendi	F	1983	161	55	Spain	ESP	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Singles, Slalom	NA
21514	Peter Cibk	M	1981	187	77	Slovakia	SVK	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, Slalom	NA
21516	Stefania Cicali	F	1988	178	68	Italy	ITA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Doubles, 500 metres	NA
21516	Stefania Cicali	F	1988	178	68	Italy	ITA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Fours, 500 metres	NA
21966	Jacob Clear	M	1985	185	86	Australia	AUS	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Doubles, 500 metres	NA
22384	Philippe Colin	M	1980	200	88	France	FRA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Doubles, 1,000 metres	NA
23164	Miguel Antonio Correa	M	1984	173	77	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 500 metres	NA
23164	Miguel Antonio Correa	M	1984	173	77	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 1,000 metres	NA
23180	Heather Corrie	F	1971	173	59	United States	USA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Singles, Slalom	NA
23227	Manuel Cortina Martnez	M	1983	187	90	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 500 metres	NA
23227	Manuel Cortina Martnez	M	1983	187	90	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 1,000 metres	NA
23703	Sal Craviotto Rivero	M	1985	192	98	Spain	ESP	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Doubles, 500 metres	Gold
