id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
583	Julien Absalon	M	1981	180	68	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Mountainbike, Cross-Country	Gold
1056	Mario Aerts	M	1975	182	68	Belgium	BEL	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
1631	Bilal Akgl	M	1983	167	59	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Mountainbike, Cross-Country	NA
2428	Moiss Aldape Chvez	M	1982	175	62	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
2897	Thomas Allier	M	1975	185	86	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's BMX	NA
2999	Patricio Javier Almonacid Gonzlez	M	1980	166	60	Chile	CHI	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
3255	Carlos Eduardo Alzate Escobar	M	1983	180	70	Colombia	COL	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Individual Pursuit, 4,000 metres	NA
4182	Vera Sergeyevna Andreyeva	F	1988	167	64	Russia	RUS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Mountainbike, Cross-Country	NA
4827	Juan Esteban Arango Carvajal	M	1987	172	62	Colombia	COL	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Pursuit, 4,000 metres	NA
5167	Kristin Ann Armstrong (-Savola)	F	1974	173	58	United States	USA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Road Race, Individual	NA
5167	Kristin Ann Armstrong (-Savola)	F	1974	173	58	United States	USA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Individual Time Trial	Gold
5198	Judith Arndt	F	1976	173	59	Germany	GER	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Road Race, Individual	NA
5198	Judith Arndt	F	1976	173	59	Germany	GER	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Individual Time Trial	NA
5293	Marco Antonio Arriagada Quinchel	M	1976	167	58	Chile	CHI	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Points Race	NA
5423	Kurt Asle Arvesen	M	1975	183	74	Norway	NOR	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
5597	Hossein Askari	M	1975	179	73	Iran	IRI	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
5597	Hossein Askari	M	1975	179	73	Iran	IRI	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Individual Time Trial	NA
5973	John Lee Augustyn	M	1987	178	65	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
6160	Mohd Azizulhasni Awang	M	1988	166	69	Malaysia	MAS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Sprint	NA
6160	Mohd Azizulhasni Awang	M	1988	166	69	Malaysia	MAS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Keirin	NA
6160	Mohd Azizulhasni Awang	M	1988	166	69	Malaysia	MAS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Sprint	NA
6445	Tom Bbek	M	1987	186	84	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Sprint	NA
6910	Tanya Bailey	F	1981	165	66	Australia	AUS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's BMX	NA
7408	Henrik Baltzersen	M	1985	180	93	Denmark	DEN	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's BMX	NA
8191	Michael Gerard Barry	M	1976	189	72	Canada	CAN	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
8555	Katherine Linsey "Kate" Bates	F	1982	176	69	Australia	AUS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Road Race, Individual	NA
8555	Katherine Linsey "Kate" Bates	F	1982	176	69	Australia	AUS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Points Race	NA
8729	Grgory Benot Baug	M	1985	181	100	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Keirin	NA
8729	Grgory Benot Baug	M	1985	181	100	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Sprint	Silver
8910	Ryan Neville Bayley	M	1982	182	90	Australia	AUS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Sprint	NA
8910	Ryan Neville Bayley	M	1982	182	90	Australia	AUS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Keirin	NA
8910	Ryan Neville Bayley	M	1982	182	90	Australia	AUS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Sprint	NA
9126	Cristian Daniel Becerine	M	1977	177	81	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's BMX	NA
