id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
395	Jennifer Abel	F	1992	160	62	Canada	CAN	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA
1283	Jeinkler Ernesto Aguirre Manso	M	1990	165	57	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	NA
2450	Blake Aldridge	M	1982	167	64	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Synchronized Platform	NA
8222	Nra Barta	F	1984	170	60	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA
8587	Noemi Batki	F	1988	167	62	Italy	ITA	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Springboard	NA
10048	Meaghan Benfeito	F	1989	155	48	Canada	CAN	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Platform	NA
10117	Jenifer del Carmen Bentez Bentez	F	1989	160	50	Spain	ESP	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA
11030	Jorge Betancourt Garca	M	1982	171	70	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Springboard	NA
12044	Constantin Blaha	M	1988	178	76	Austria	AUT	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Springboard	NA
13969	David Alasdair Boudia	M	1989	175	73	United States	USA	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	NA
13969	David Alasdair Boudia	M	1989	175	73	United States	USA	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Synchronized Platform	NA
15890	Kelci Marie Bryant	F	1989	160	61	United States	USA	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Springboard	NA
17272	Tania Cagnotto (-Parolin)	F	1985	160	54	Italy	ITA	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA
17272	Tania Cagnotto (-Parolin)	F	1985	160	54	Italy	ITA	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Platform	NA
18969	Yahel Ernesto Castillo Huerta	M	1987	167	66	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Springboard	NA
20258	Chen Ruolin	F	1993	160	47	China	CHN	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Platform	Gold
20258	Chen Ruolin	F	1993	160	47	China	CHN	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Platform	Gold
20962	Choe Kum-Hui	F	1987	157	46	North Korea	PRK	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Platform	NA
21619	RamonaMaria Ciobanu	F	1985	160	50	Romania	ROU	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Platform	NA
22322	Briony Christine "Bree" Cole	F	1983	160	50	Australia	AUS	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Springboard	NA
22322	Briony Christine "Bree" Cole	F	1983	160	50	Australia	AUS	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Platform	Silver
22557	Christopher "Chris" Colwill	M	1985	178	76	United States	USA	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Springboard	NA
22557	Christopher "Chris" Colwill	M	1985	178	76	United States	USA	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Synchronized Springboard	NA
23409	Tonia Couch	F	1989	166	54	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Platform	NA
23409	Tonia Couch	F	1989	166	54	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Platform	NA
23858	Alexandra Lindsay Croak	F	1984	165	55	Australia	AUS	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Platform	NA
24974	Thomas Robert "Tom" Daley	M	1994	177	74	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	NA
24974	Thomas Robert "Tom" Daley	M	1994	177	74	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Synchronized Platform	NA
25003	Francesca Dallap	F	1986	163	57	Italy	ITA	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Springboard	NA
26024	Csar Augusto Aquino de Castro	M	1983	175	72	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Springboard	NA
27335	Francesco Dell'Uomo	M	1987	169	62	Italy	ITA	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	NA
27839	Alexandre Despatie	M	1985	173	76	Canada	CAN	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Springboard	Silver
27839	Alexandre Despatie	M	1985	173	76	Canada	CAN	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Synchronized Springboard	NA
28406	Katja Dieckow	F	1985	163	65	Germany	GER	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA
29000	Aleksandr Mikhaylovich Dobroskok	M	1982	175	65	Russia	RUS	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Springboard	NA
29001	Dmitry Mikhaylovich Dobroskok	M	1984	167	57	Russia	RUS	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Synchronized Platform	Bronze
30017	Jenna Louise Dreyer	F	1986	158	57	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA
30548	Troy Matthew Bek Dumais	M	1980	168	68	United States	USA	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Springboard	NA
30709	Mary Beth Dunnichay	F	1993	152	45	United States	USA	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Platform	NA
30782	Cassius Ricardo Duran	M	1979	174	73	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	NA
31587	Elina Elisabeth Eggers	F	1987	164	56	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Platform	NA
33227	Paola Milagros Espinosa Snchez	F	1986	156	48	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Platform	NA
33227	Paola Milagros Espinosa Snchez	F	1986	156	48	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Platform	Bronze
33667	Rexel Ryan Fabriga	M	1986	160	60	Philippines	PHI	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	NA
34384	Claire Febvay	F	1982	171	64	France	FRA	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Platform	NA
34413	Olena Olehivna Fedorova	F	1987	164	57	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA
35311	Roseline Filion	F	1987	152	52	Canada	CAN	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Platform	NA
35354	Svetlana Vyacheslavovna Filippova	F	1990	165	47	Russia	RUS	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA
35395	Thomas Finchum	M	1990	185	68	United States	USA	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	NA
35395	Thomas Finchum	M	1990	185	68	United States	USA	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Synchronized Platform	NA
35514	Heike Fischer	F	1983	172	62	Germany	GER	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Springboard	Bronze
36295	Erick Fornaris lvarez	M	1979	170	69	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Synchronized Platform	NA
36438	Nancilea Marie Foster (Underwood-)	F	1984	170	61	United States	USA	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA
37620	Ramn Antonio Fumad Rodrguez	M	1982	170	66	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Springboard	NA
38108	Rebecca Gallantree	F	1985	166	60	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA
38174	Gleb Sergeyevich Galperin	M	1983	175	68	Russia	RUS	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	Bronze
38174	Gleb Sergeyevich Galperin	M	1983	175	68	Russia	RUS	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Synchronized Platform	Bronze
38245	Annett Gamm	F	1977	167	54	Germany	GER	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Platform	NA
38245	Annett Gamm	F	1977	167	54	Germany	GER	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Platform	NA
