id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
876	Jean Renaud Adde	M	1971	181	70	France	FRA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Individual	NA
876	Jean Renaud Adde	M	1971	181	70	France	FRA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Team	NA
1356	Christian Ahlmann	M	1975	189	80	Germany	GER	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
1356	Christian Ahlmann	M	1975	189	80	Germany	GER	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	NA
1885	Ramzy Al-Duhami	M	1972	162	70	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
1885	Ramzy Al-Duhami	M	1972	162	70	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	NA
2026	Latifah bint Ahmed bin Juma Al-Maktoum	F	1986	160	46	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
2134	Prince Abdullah Bin Moteb Al-Saud	M	1985	178	69	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
2134	Prince Abdullah Bin Moteb Al-Saud	M	1985	178	69	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	NA
2144	Prince Faisal Al-Shalan	M	1987	178	66	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
2144	Prince Faisal Al-Shalan	M	1987	178	66	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	NA
