id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
63	Jos Luis Abajo Gmez	M	1978	194	87	Spain	ESP	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Individual	Bronze
1203	Renzo Pasquale Zeglio Agresta	M	1985	181	76	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Individual	NA
1929	Khalid Issa A. H. Al-Hamadi	M	1988	171	57	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Foil, Individual	NA
2684	Lahoussine Xavier Ali	M	1975	176	68	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Foil, Individual	NA
4243	Robert Sebastian Andrzejuk	M	1975	179	75	Poland	POL	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Team	Silver
4266	Indra Angad-Gaur	F	1974	170	60	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Foil, Individual	NA
6073	Anton Alekseyevich Avdeyev	M	1987	174	85	Russia	RUS	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Individual	NA
7597	Bao Yingying	F	1984	172	67	China	CHN	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Sabre, Individual	NA
7597	Bao Yingying	F	1984	172	67	China	CHN	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Sabre, Team	Silver
9071	Philippe Beaudry	M	1987	183	73	Canada	CAN	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Individual	NA
10112	Alejandra Jhonay de Jess Bentez Romero	F	1980	169	62	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Sabre, Individual	NA
10233	Hadia Bentaleb	F	1981	167	52	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's epee, Individual	NA
10958	Azza Besbes	F	1991	175	62	Tunisia	TUN	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Sabre, Individual	NA
11273	Ilaria Bianco	F	1980	165	55	Italy	ITA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Sabre, Individual	NA
12574	Gbor Gyula Boczk	M	1977	192	89	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Individual	NA
12574	Gbor Gyula Boczk	M	1977	192	89	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Team	NA
13908	Ins Boubakri	F	1989	167	56	Tunisia	TUN	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Foil, Individual	NA
14365	Svetlana Anatolyevna Boyko	F	1972	180	63	Russia	RUS	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Foil, Team	Gold
14698	Ana Maria Florentina Brnz-Popescu	F	1985	175	64	Romania	ROU	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's epee, Individual	Silver
14788	Carlos Jos Bravo Lpez	M	1973	168	72	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Individual	NA
