id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
92	Ignazio Abate	M	1987	180	73	Italy	ITA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
716	Lautaro Germn Acosta	M	1988	168	72	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold
729	Robert Acquafresca	M	1988	184	70	Italy	ITA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
896	Olubayo Adefemi	M	1986	181	82	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
908	Ayodele "Dele" Adeleye	M	1989	190	80	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
1028	Fredua Koranteng "Freddy" Adu	M	1989	170	66	United States	USA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
1220	Sergio Leonel Agero del Castillo	M	1988	172	74	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold
1556	Ebenezer Oluwafemi "Femi" Ajilore	M	1985	185	75	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
2592	Alexandre "Alexandre Pato" Rodrigues da Silva	M	1990	179	71	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Bronze
2990	Johanna Maria-Therese Almgren	F	1984	170	62	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	NA
3101	Josmer Volmy "Jozy" Altidore	M	1990	185	91	United States	USA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
3149	David Daniel lvarez Martnez	M	1986	170	66	Honduras	HON	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
3361	Efetobore "Efe" Ambrose Emuobo	M	1989	187	70	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
3789	nderson Lus de Abreu Oliveira	M	1988	176	77	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Bronze
4014	Kozue Ando	F	1982	164	57	Japan	JPN	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	NA
4101	Andria Suntaque	F	1978	175	65	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Silver
4270	Vincent Atchouailou de Paul Angban	M	1985	184	74	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
4320	Nadine Marejke Angerer	F	1979	174	70	Germany	GER	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Bronze
4347	Benjamin Brou Angoua	M	1987	182	72	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
4369	Victor Chinedu Anichebe	M	1988	192	94	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
4676	Onyekachi Apam	M	1987	180	79	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
4797	Eriko Arakawa	F	1980	166	57	Japan	JPN	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	NA
5257	Ida Maria Aronsson	F	1984	176	62	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	NA
5295	Ysica Arrin	F	1980	172	62	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	NA
5449	Quiarol Lenn Arz Flores	M	1985	183	83	Honduras	HON	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
6446	Ryan Guno Babel	M	1987	185	74	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
6731	Baek Ji-Hoon	M	1985	175	65	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
6768	Mamadou Bagayoko	M	1990	175	63	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
6928	Logan Bailly	M	1986	189	85	Belgium	BEL	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
