id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	NA
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	NA
396	Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	Bronze
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	NA
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	NA
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA
1938	Nashwan Haidar Al-Harazi	M	1987	162	54	Yemen	YEM	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Individual All-Around	NA
1938	Nashwan Haidar Al-Harazi	M	1987	162	54	Yemen	YEM	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Floor Exercise	NA
1938	Nashwan Haidar Al-Harazi	M	1987	162	54	Yemen	YEM	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Horse Vault	NA
