id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
21	Ragnhild Margrethe Aamodt	F	1981	163	nan	Norway	NOR	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Gold
73	Luc Abalo	M	1985	182	86	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold
93	Jol Marc Abati	M	1970	190	85	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold
157	Mohamed Ibrahim Abd El-Salam	M	1982	192	83	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	NA
198	Walid Abdel Maksoud	M	1979	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	NA
245	Abouelfetoh Abdelrazek	M	1987	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	NA
1036	Olga Olegovna Adzhigerskaya	F	1982	192	65	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
1354	Johanna Maria Helne Ahlm	F	1988	175	69	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
2545	Alessandra Medeiros da Oliveira	F	1982	184	75	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
2587	Alexandra Priscila do Nascimento	F	1982	177	68	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
2739	Mirko Alilovi	M	1986	200	110	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	NA
2751	Aline Silva dos Santos	F	1982	195	96	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
2978	Nair Felipe Pires de Almeida	F	1984	181	69	Angola	ANG	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
3095	Anja Althaus	F	1983	174	65	Germany	GER	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
3311	Carmen Andreea Amariei (-Lingu)	F	1979	184	79	Romania	ROU	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
3503	Eduarda Idalina "Duda" Amorim-Taleska	F	1987	186	84	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
3589	An Jeong-Hwa	F	1981	162	62	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Bronze
3614	Ana Paula Rodrigues-Belo	F	1988	172	67	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
4240	Yekaterina Sergeyevna Andryushina	F	1986	185	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Silver
4364	Mihaela Ani Senocico	F	1982	174	70	Romania	ROU	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
5520	Sturla sgeirsson	M	1980	182	80	Iceland	ISL	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Silver
5627	Samvel Ovikovich Aslanyan	M	1986	187	85	Russia	RUS	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	NA
