id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
127	Shakeel Abbasi	M	1984	165	60	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
143	Desmond "Des" Abbott	M	1987	184	87	Australia	AUS	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Bronze
144	Geoffrey Grant Abbott	M	1985	179	80	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
516	Clyde Abrahams	M	1979	178	68	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
1169	Marilyn Agliotti	F	1979	172	58	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Gold
1410	Nasir Ahmed	M	1985	165	65	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
1467	Mara Magdalena Aicega Amicarelli	F	1974	165	60	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Bronze
1588	Salman Akbar	M	1982	180	85	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
1589	Waqar Akbar	M	1989	172	58	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
2458	David Alegre Biosca	M	1985	184	75	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
2460	Ramn Alegre Biosca	M	1981	171	71	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
2580	Richard Ian M. Alexander	M	1982	168	80	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
3324	Pablo "Pol" Amat Escud	M	1978	183	78	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
4639	Ao Changrong	M	1983	173	71	China	CHN	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
4891	Eduard Arbs Borras	M	1983	174	70	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
4932	Ryan Archibald	M	1981	186	78	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
5305	Jessica Nicole "Nic" Arrold	F	1982	166	63	Australia	AUS	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
5568	Zeeshan Ashraf	M	1977	178	65	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
5851	Teneal Attard	F	1985	161	59	Australia	AUS	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
6256	Luciana Paula "Lucha" Aymar	F	1978	178	59	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Bronze
6556	Tina Bachmann	F	1978	165	64	Germany	GER	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
7423	Marvin Bam	M	1978	175	66	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
7737	Kate Barber	F	1977	160	55	United States	USA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
8133	Mara Noel Barrionuevo	F	1984	171	58	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Bronze
8299	Laura Bartlett	F	1988	169	63	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
8442	Kayla M. Bashore-Smedley	F	1983	157	58	United States	USA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
9353	Janine Beermann	F	1984	170	63	Germany	GER	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
11347	Sebastian Friedrich Felix Biederlack	M	1982	176	73	Germany	GER	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Gold
11504	Syed Abbas Haider Bilgrami	M	1990	167	56	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
11564	Jennie Louise Bimson	F	1977	161	64	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
12082	Paul Gane Blake	M	1983	181	80	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
12235	Jonathan David "Jon" Bleby	M	1980	180	75	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
12421	Madonna Blyth	F	1986	165	60	Australia	AUS	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
12679	Thomas Lodewijk Boerma	M	1981	180	72	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
13103	Silvia Bonastre Peremateu	F	1982	160	53	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
13319	Minke Gertine Booij	F	1977	163	57	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Gold
15071	Thomas Briels	M	1988	172	71	Belgium	BEL	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
15094	Tarryn Bright	F	1983	174	71	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
15380	Gareth Norman Brooks	M	1978	173	69	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
15394	Travis Neil Brooks	M	1980	186	79	Australia	AUS	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Bronze
15451	Matthijs Christian Brouwer	M	1980	185	81	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
15453	Ronald Leendert Brouwer	M	1979	177	75	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
15490	Cindy Joslyn Brown	F	1985	174	70	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
