id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
439	Sagat Abikeyeva	F	1981	160	78	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Heavyweight	NA
795	Tomasz Adamiec	M	1982	171	69.5	Poland	POL	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Lightweight	NA
1039	Silulu A'etonu (-Grey)	F	1984	170	59	American Samoa	ASA	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Middleweight	NA
1317	Younes Al-Ahamdi	M	1976	167	60	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Extra-Lightweight	NA
1894	Talal Al-Enezi	M	1986	180	94	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Heavyweight	NA
2102	Saeed Rashed Al-Qubaisi	M	1990	176	73	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Lightweight	NA
2270	David Alarza Palacios	M	1977	185	90	Spain	ESP	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Middleweight	NA
2300	Miguel ngel Albarracn	M	1981	167	64	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Extra-Lightweight	NA
2598	Lavrentis Alexanidis	M	1978	171	65	Greece	GRE	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Extra-Lightweight	NA
3206	Yuri Alvear Orjuela	F	1986	176	70	Colombia	COL	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Middleweight	NA
3593	An Kum-Ae	F	1980	160	52	North Korea	PRK	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Lightweight	Silver
4511	Mark Anthony	M	1990	187	81	Australia	AUS	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Middleweight	NA
4977	Yordanis Arencibia Verdecia	M	1980	167	66	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Lightweight	Bronze
5113	Catherine Marie Joelle "Cath" Arlove	F	1971	168	64	Australia	AUS	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Middleweight	NA
5500	Sergei Aschwanden	M	1976	181	92	Switzerland	SUI	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Middleweight	Bronze
5672	Ne'matullo Asronqulov	M	1982	188	90	Tajikistan	TJK	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Middleweight	NA
5842	Safouane Attaf	M	1984	178	81	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Middleweight	NA
5955	Marlon August-Accio	M	1982	180	81	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Lightweight	NA
6372	Hassane Azzoun	M	1980	188	100	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Heavyweight	NA
6639	Bernadett Baczk	F	1986	164	60	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Lightweight	NA
6699	Youssef Badra	M	1984	185	81	Tunisia	TUN	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Middleweight	NA
7766	Danielli Yuri Barbosa	F	1984	160	65	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Middleweight	NA
8086	Ysis Lenis Barreto Rodrguez	F	1980	159	63	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Middleweight	NA
8414	Michaela Baschin	F	1984	163	48	Germany	GER	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Extra-Lightweight	NA
8437	Alibek Alikovich Bashkayev	M	1990	180	81	Russia	RUS	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Middleweight	NA
8566	Diguy Bathily	M	1977	nan	141	Senegal	SEN	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Heavyweight	NA
9435	Benjamin "Benny" Behrla	M	1986	192	96	Germany	GER	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Heavyweight	NA
9921	Mohamed Ben Saleh	M	1981	169	80	Libya	LBA	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Heavyweight	NA
9949	Mounir Benamadi	M	1982	168	66	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Lightweight	NA
10105	Amar Benikhlef	M	1982	186	90	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Middleweight	Silver
10641	Yanet Bermoy Acosta	F	1987	154	48	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Extra-Lightweight	Silver
10894	Mariano Daniel Bertolotti	M	1983	176	72	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Lightweight	NA
11182	Marcon Bezzina	F	1986	162	65	Malta	MLT	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Middleweight	NA
11243	Paolo Bianchessi	M	1981	180	144	Italy	ITA	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Heavyweight	NA
11541	Hennadiy Hryhorovych Bilodid	M	1977	171	73	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Lightweight	NA
11757	Ole Bischof	M	1980	180	81	Germany	GER	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Middleweight	Gold
12177	Ricardo Blas, Jr.	M	1987	183	214	Guam	GUM	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Heavyweight	NA
12733	Lyudmila Yuryevna Bogdanova	F	1984	160	52	Russia	RUS	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Extra-Lightweight	NA
