id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
5098	Anna Arkhipenko	F	1983	175	62	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
5453	Laura Asadauskait-Zadneprovskien	F	1984	160	49	Lithuania	LTU	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
7360	Gbor Balogh	M	1976	187	76	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
10020	Nicola Benedetti	M	1986	198	78	Italy	ITA	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
10796	Jean-Maxence Berrou	M	1986	173	70	France	FRA	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
10887	Sara Bertoli	F	1979	172	58	Italy	ITA	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
12671	Paulina Boenisz	F	1979	172	60	Poland	POL	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
14912	Eli Bremer	M	1978	183	76	United States	USA	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
16874	Cristin Patricio Bustos Rodrguez	M	1982	165	62	Chile	CHI	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
18007	Cao Zhongrong	M	1982	180	73	China	CHN	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
19198	Amlie Caze	F	1985	180	63	France	FRA	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
19384	Deniss erkovskis	M	1979	180	77	Latvia	LAT	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
20250	Chen Qian	F	1987	163	54	China	CHN	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
23193	Claudia Corsini	F	1978	165	59	Italy	ITA	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
24578	Sylwia Magdalena Czwojdziska-Gawlikowska	F	1983	176	61	Poland	POL	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
25354	Angie Darby	F	1987	176	63	Australia	AUS	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
29179	Galina Anatolyevna Dolgushina	F	1981	168	58	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
31119	Lada Vladimirovna Dzhiyenbalanova	F	1970	166	54	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
31982	Amro Abdulrahman Ali El-Geziry	M	1987	185	75	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
33835	Omnia Abdel Khalek Fakhry	F	1982	165	53	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
34570	Heather Rame Fell	F	1983	169	62	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	Silver
37307	Ilya Mikhaylovich Frolov	M	1984	180	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
39278	Steffen Gebhardt	M	1981	176	70	Germany	GER	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
42428	Kara Grant	F	1979	166	58	Canada	CAN	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
42593	Yevdokia Yuryevna Grechishnikova	F	1983	167	55	Russia	RUS	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
43096	Lucie Grolichov	F	1978	182	67	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
44351	Leila Gyenesei	F	1986	180	61	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
49897	Marcin Horbacz	M	1974	180	73	Poland	POL	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
50102	Viktor Horvth	M	1978	174	71	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
52429	Margaux Isaksen	F	1992	178	60	United States	USA	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
60762	Dmytro Kostiantynovych Kirpulianskiy	M	1985	192	75	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
64378	Edvinas Krungolcas	M	1973	187	79	Lithuania	LTU	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	Silver
66650	Yegor Lappo	M	1982	182	77	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
67821	Lee Chun-Heon	M	1980	184	75	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
70743	Katherine Elizabeth "Katy" Livingston	F	1984	169	55	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
71379	Jaime Lpez Snchez	M	1986	186	80	Spain	ESP	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
73756	Bartosz Majewski	M	1987	179	72	Poland	POL	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
75310	Yane Mrcia Campos da Fonseca Marques	F	1984	166	55	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
78025	Aya Mahmud Abdallah Muhammad Medany	F	1989	172	63	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
78533	Dmitry Nikolayevich Melyakh	M	1979	178	75	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	NA
