id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
2762	Margarita Sergeyevna Aliychuk	F	1991	174	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Gold
4216	Eleni Andriola	F	1987	163	45	Greece	GRE	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Individual	NA
6489	Alesya Aleksandrovna Babushkina	F	1989	170	55	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Bronze
11173	Hanna Volodymyrivna Bezsonova	F	1984	174	49	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Individual	Bronze
11837	Anna Bitiyeva	F	1988	166	48	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
12113	Elisa Blanchi	F	1988	168	49	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
17289	Cai Tongtong	F	1990	168	48	China	CHN	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Silver
20430	Krystyna Cherepienina	F	1992	168	42	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
20446	Lyubov Viktorovna Cherkashina	F	1988	171	53	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Individual	NA
21158	Chou Tao	F	1988	174	56	China	CHN	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Silver
21539	Almudena Cid Tostado	F	1980	167	47	Spain	ESP	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Individual	NA
28914	Olena Mykolavna Dmytrash	F	1992	173	51	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
28930	Fabrizia D'Ottavio	F	1985	173	52	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
31002	Olena Dvornichenko	F	1991	167	50	Israel	ISR	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
32575	Yuko Endo	F	1992	162	40	Japan	JPN	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
33846	Marinella Falca	F	1986	167	50	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
34120	Luana Faro	F	1990	162	48	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
39155	Anna Vitalyevna Gavrilenko	F	1990	174	55	Russia	RUS	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Gold
40412	Dinara Gimatova	F	1987	171	53	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Individual	NA
41486	Barbara Gonzlez Oteiza	F	1985	173	54	Spain	ESP	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
41574	Lara Gonzlez Oteiza	F	1986	180	54	Spain	ESP	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
41776	Tatyana Igorevna Gorbunova	F	1990	176	63	Russia	RUS	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Gold
45897	Chihana Hara	F	1989	162	45	Japan	JPN	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
49063	Nataliya Oleksandrivna Hodunko	F	1985	168	47	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Individual	NA
51201	Vfa Hseynova	F	1989	164	49	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
52076	Saori Inagaki	F	1990	164	45	Japan	JPN	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
52765	Anastasiya Vladimirovna Ivankova	F	1992	170	53	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Bronze
55522	Naazmi Johnston	F	1989	165	47	Australia	AUS	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Individual	NA
56618	Dimitra Kafalidou	F	1992	168	50	Greece	GRE	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
