id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
849	Filip Kamil Adamski	M	1983	189	87	Germany	GER	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Fours	NA
1114	Luca Agamennoni	M	1981	187	93	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Quadruple Sculls	Silver
1398	Heba Ahmed	F	1985	176	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Single Sculls	NA
1518	Kamel Ait Daoud	M	1985	180	70	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Double Sculls	NA
2583	Buffy-Lynne Alexander-Williams	F	1977	170	69	Canada	CAN	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Coxed Eights	NA
2874	Wyatt Allen	M	1979	193	98	United States	USA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxed Eights	Bronze
2981	Thiago Almeida	M	1980	181	70	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Double Sculls	NA
3107	Michael "Mike" Altman	M	1976	183	73	United States	USA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Coxless Fours	NA
3308	Catello Amarante	M	1980	177	73	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Coxless Fours	NA
3461	Salvatore Amitrano	M	1976	184	73	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Coxless Fours	NA
3668	Olaf van Andel	M	1984	193	90	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxed Eights	NA
3761	Mads Christian Kruse Andersen	M	1978	187	75	Denmark	DEN	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Coxless Fours	Gold
4598	Jitka Antoov	F	1987	175	73	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Double Sculls	NA
4930	Richard Archibald	M	1978	183	70	Ireland	IRL	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Coxless Fours	NA
5546	Carla Frances Ashford	F	1979	182	79	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Coxed Eights	NA
6811	Julien Bahain	M	1986	190	93	France	FRA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Quadruple Sculls	Bronze
7237	Natalie Bale	F	1986	188	74	Australia	AUS	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Coxed Eights	NA
7342	Sophie Balmary	F	1979	183	76	France	FRA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Single Sculls	NA
7545	David Banks	M	1984	188	87	United States	USA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Fours	NA
