id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
148	Kathryn "Katie" Abbott	F	1987	164	63	Canada	CAN	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	NA
1212	Ral Alfonso Aguayo Saladin	M	1981	189	82	Dominican Republic	DOM	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's One Person Dinghy	NA
1460	Johannes Ahun	M	1988	187	76	Estonia	EST	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Windsurfer	NA
1498	Charles Benedict "Ben" Ainslie	M	1977	183	90	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed One Person Dinghy	Gold
2210	Marina Alabau Neira	F	1986	164	55	Spain	ESP	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Windsurfer	NA
2376	Samuel Albrecht	M	1982	180	71	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Two Person Dinghy	NA
2464	Jo Qesem Ayela Aleh	F	1986	171	58	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's One Person Dinghy	NA
2759	Penny Alison	F	1984	175	77	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	NA
3074	Julio Alsogaray	M	1980	180	81	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's One Person Dinghy	NA
4037	Francisco Catalo Rebelo Andrade	M	1980	172	83	Portugal	POR	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed Skiff	NA
5532	Glenn Ashby	M	1978	170	76	Australia	AUS	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed Multihull	Silver
5559	Thomas John Mitchell "Tom" Ashley	M	1984	188	70	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Windsurfer	Gold
6023	Ben Austin	M	1982	185	78	Australia	AUS	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed Skiff	NA
6278	Sarah Lianne Ayton (-Dempsey)	F	1980	167	63	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	Gold
6344	Mnica Azn Canalda	F	1973	164	60	Spain	ESP	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	NA
6345	Sandra Azn Canalda	F	1974	171	68	Spain	ESP	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	NA
7847	Benjamin Oden "Ben" Barger	M	1981	183	73	United States	USA	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Windsurfer	NA
7907	Sally Barkow	F	1980	168	82	United States	USA	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	NA
8064	Onn Barreiros Rodrguez	M	1982	177	66	Spain	ESP	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Two Person Dinghy	NA
8173	Thomas Barrows III	M	1988	186	82	United States Virgin Islands	ISV	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's One Person Dinghy	NA
8477	Christina Victoria Bassadone	F	1982	173	58	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Two Person Dinghy	NA
8823	Olivier Bausset	M	1982	180	69	France	FRA	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Two Person Dinghy	Bronze
8984	Tatyana Vyacheslavovna Bazyuk	F	1985	167	58	Russia	RUS	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Windsurfer	NA
9479	Sofia Bekatorou (-Kosmatopoulos)	F	1978	172	62	Greece	GRE	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	Bronze
10326	Zsombor Berecz	M	1986	195	95	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's One Person Dinghy	NA
