id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
213	Samy Abdel Razek	M	1980	170	60	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Free Pistol, 50 metres	NA
225	Shaimaa Abdel-Latif-Hashad	F	1981	165	57	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Air Rifle, 10 metres	NA
231	Mahmod Abdelaly	M	1967	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Pistol, 10 metres	NA
238	Mohamed Abdellah	M	1968	170	70	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Rifle, 10 metres	NA
1445	Gaby Diana Ahrens	F	1981	169	60	Namibia	NAM	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Trap	NA
1540	Artur Surenovych Aivazian	M	1973	177	88	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Rifle, 10 metres	NA
1540	Artur Surenovych Aivazian	M	1973	177	88	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Three Positions, 50 metres	NA
1540	Artur Surenovych Aivazian	M	1973	177	88	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Prone, 50 metres	Gold
1640	Giorgos Akhilleos	M	1981	172	75	Cyprus	CYP	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
1809	Nasser Salih Nasser Abdullah Al-Attiya	M	1971	178	82	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
1848	Dadallah Noor Mohamed Al-Bulushi	M	1959	172	86	Oman	OMA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Prone, 50 metres	NA
2025	Ahmed bin Hasher Al-Maktoum	M	1964	175	67	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Trap	NA
2025	Ahmed bin Hasher Al-Maktoum	M	1964	175	67	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Double Trap	NA
2029	Saeed bin Hasher Al-Maktoum	M	1977	176	88	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
2047	Naser Al-Meqlad	M	1983	176	120	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Trap	NA
2064	Sayed Al-Mutairi Bariq	M	1969	172	65	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
2065	Zaid Al-Mutairi	M	1982	169	64	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
2112	Abdullah Al-Rashidi	M	1964	183	83	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
2755	Aleksey Aleksandrovich Alipov	M	1976	175	80	Russia	RUS	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Trap	Bronze
2975	Jlio Antonio de Sourza e Almeida	M	1970	180	90	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Pistol, 10 metres	NA
2975	Jlio Antonio de Sourza e Almeida	M	1970	180	90	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Rapid-Fire Pistol, 25 metres	NA
2975	Jlio Antonio de Sourza e Almeida	M	1970	180	90	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Free Pistol, 50 metres	NA
3404	Mohamed Mahmoud Amer	M	1969	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Three Positions, 50 metres	NA
3450	Hasli Izwan Amir Hasan	M	1977	166	85	Malaysia	MAS	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Rapid-Fire Pistol, 25 metres	NA
3601	An Su-Gyeong	F	1987	160	65	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Sporting Pistol, 25 metres	NA
4262	Eric Ang	M	1971	164	52	Philippines	PHI	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Trap	NA
4515	Michael E. "Mike" Anti	M	1964	173	73	United States	USA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Prone, 50 metres	NA
4768	Yekaterina Arabova	F	1984	165	57	Turkmenistan	TKM	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Air Rifle, 10 metres	NA
4814	Juan Jos Aramburu Amorena	M	1982	170	83	Spain	ESP	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
5650	Dina Aspandiyarova	F	1976	158	65	Australia	AUS	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Air Pistol, 10 metres	NA
5650	Dina Aspandiyarova	F	1976	158	65	Australia	AUS	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Sporting Pistol, 25 metres	NA
5739	Jorge Nicols Atalah Moya	M	1969	170	70	Chile	CHI	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
6461	Sergey Babikov	M	1968	170	100	Tajikistan	TJK	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Pistol, 10 metres	NA
6461	Sergey Babikov	M	1968	170	100	Tajikistan	TJK	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Free Pistol, 50 metres	NA
6647	Mauro Badaracchi	M	1984	180	83	Italy	ITA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Pistol, 10 metres	NA
7052	Norayr Bakhtamyan	M	1971	180	90	Armenia	ARM	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Pistol, 10 metres	NA
7052	Norayr Bakhtamyan	M	1971	180	90	Armenia	ARM	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Free Pistol, 50 metres	NA
7115	Desislava Balabanova	F	1989	165	58	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Air Rifle, 10 metres	NA
7115	Desislava Balabanova	F	1989	165	58	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Small-Bore Rifle, Three Positions, 50 metres	NA
8234	Danka Bartekov	F	1985	170	55	Slovakia	SVK	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Skeet	NA
8329	George Raymond Barton	M	1978	181	80	Australia	AUS	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
