id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
153	Monica Cecilia Abbott	F	1985	191	88	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver
2727	Yuruby Rosaura Alicart Ramrez	F	1986	154	60	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
2875	Sandra Louise "Sandy" Allen-Lewis	F	1979	170	59	Australia	AUS	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Bronze
8869	Lauren Bay-Regula	F	1982	173	64	Canada	CAN	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
10389	Laura Kay Berg	F	1975	168	61	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver
12661	Nomi Boekel	F	1984	168	68	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
12708	Mariangee Josefina Bogado Gonzlez	F	1984	165	68	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
14257	Jodie Bowering	F	1982	167	67	Australia	AUS	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Bronze
14502	Alison Bradley	F	1979	170	68	Canada	CAN	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
16875	Crystl Irene Bustos	F	1978	173	102	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver
18902	Marianella Castellanos Martnez	F	1984	176	84	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
20242	Chen Miao-Yi	F	1983	165	52	Chinese Taipei	TPE	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
20628	Chiang Hui-Chuan	F	1981	176	90	Chinese Taipei	TPE	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
21393	Chueh Ming-Hui	F	1985	166	84	Chinese Taipei	TPE	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
21672	Zuleyma Cirimele Heredia	F	1967	167	73	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
23905	Kylie Cronk	F	1984	169	58	Australia	AUS	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Bronze
24309	Erin Cumpstone	F	1981	173	68	Canada	CAN	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
26541	Daisy de Peinder	F	1977	171	70	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
