id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
130	Tural Abbasov	M	1990	182	76	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA
258	Hamza Abdo	M	1991	nan	nan	Palestine	PLE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA
738	Crox Ernesto Acua Rodrguez	M	1990	192	89	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Freestyle	NA
759	Ahmed Adam	M	1988	162	60	Sudan	SUD	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA
761	Gal Adam	M	1986	190	80	Mauritius	MRI	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Freestyle	NA
980	Rebecca "Becky" Adlington	F	1989	179	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 400 metres Freestyle	Gold
980	Rebecca "Becky" Adlington	F	1989	179	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 800 metres Freestyle	Gold
1017	Nathan Ghar-Jun Adrian	M	1989	198	100	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Gold
1032	Serhiy Mykolaiovych Advena	M	1984	190	82	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Freestyle	NA
1032	Serhiy Mykolaiovych Advena	M	1984	190	82	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Butterfly	NA
1535	Kiera Leigh Aitken	F	1984	167	55	Bermuda	BER	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Backstroke	NA
1661	Doli Akhtar	F	1986	158	53	Bangladesh	BAN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
1731	Anastasiya Sergeyevna Aksenova	F	1990	182	65	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
1731	Anastasiya Sergeyevna Aksenova	F	1990	182	65	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Freestyle	NA
