id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
159	Reem Wa'il Abdalazem Abdalazem El-Bossaty	F	1993	167	60	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
159	Reem Wa'il Abdalazem Abdalazem El-Bossaty	F	1993	167	60	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
233	Aziza Abdelfattah	F	1991	159	51	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
346	Shaza Yahia Nazih Abdulrahman El-Sayed	F	1993	170	59	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
390	Brooke Abel	F	1988	163	52	United States	USA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
912	Beatrice Adelizzi	F	1989	175	67	Italy	ITA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
2912	Olivia Elizabeth N. Allison-Federici	F	1990	169	54	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
3347	Eloise Michelle Amberger	F	1987	165	55	Australia	AUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
4645	Ai Aoki	F	1985	173	59	Japan	JPN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
6702	Hagar Badran	F	1989	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
10245	Coral Ann Bentley	F	1985	167	55	Australia	AUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
10718	Soa Bernardov	F	1976	167	54	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
13061	Sarah Joan Bombell	F	1983	167	60	Australia	AUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
13976	Marie-Pierre Boudreau-Gagnon	F	1983	165	55	Canada	CAN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
13976	Marie-Pierre Boudreau-Gagnon	F	1983	165	55	Canada	CAN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
14647	Nadine Brandl	F	1990	168	53	Austria	AUT	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
15808	Magdalena Brunner	F	1983	164	48	Switzerland	SUI	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
17146	Alba Mara Cabello Rodilla	F	1986	163	47	Spain	ESP	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Silver
21563	Mariana Aneth Cifuentes Castro	F	1987	167	50	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
23150	Raquel Corral Aznar	F	1981	175	65	Spain	ESP	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Silver
24277	Janet Culp	F	1982	160	49	United States	USA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
25221	Lisa Daniels	F	1985	168	58	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
25222	Nina Daniels	F	1982	163	58	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
25762	Anastasiya Semyonovna Davydova	F	1983	170	54	Russia	RUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	Gold
25762	Anastasiya Semyonovna Davydova	F	1983	170	54	Russia	RUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Gold
27275	Blanca Isabel Delgado Plancarte	F	1987	168	59	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
29306	Tamika Skye Domrow	F	1990	165	56	Australia	AUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
30022	Apolline Dreyfuss	F	1987	172	57	France	FRA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
30318	Jessika Dubuc	F	1983	168	57	Canada	CAN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
30442	Albta Dufkov	F	1990	172	60	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
31979	Dalia Muhammad Ahmad El-Gebaly	F	1992	170	64	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
31979	Dalia Muhammad Ahmad El-Gebaly	F	1992	170	64	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
35226	Nayara Figueira	F	1988	169	56	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
37440	Andrea Fuentes Fache	F	1983	169	58	Spain	ESP	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	Silver
37440	Andrea Fuentes Fache	F	1983	169	58	Spain	ESP	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Silver
37887	Marie-Pierre Gagn	F	1983	165	56	Canada	CAN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
40774	Myriam Glez	F	1980	168	53	Australia	AUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
40774	Myriam Glez	F	1980	168	53	Australia	AUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
40813	Anastasia Gloushkov Leventhal	F	1985	165	52	Israel	ISR	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
43102	Mariya Igorevna Gromova	F	1984	172	61	Russia	RUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Gold
43411	Gu Beibei	F	1981	166	48	China	CHN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Bronze
45917	Saho Harada	F	1983	166	56	Japan	JPN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	Bronze
45917	Saho Harada	F	1983	166	56	Japan	JPN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
47726	Thais Henrquez Torres	F	1983	185	69	Spain	ESP	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Silver
49832	Katherine "Kate" Hooven	F	1985	173	66	United States	USA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
50660	Huang Xuechen	F	1990	175	61	China	CHN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Bronze
52471	Nataliya Sergeyevna Ishchenko	F	1986	177	60	Russia	RUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Gold
52492	Yumiko Ishiguro	F	1984	164	57	Japan	JPN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
54794	Jiang Tingting	F	1987	175	53	China	CHN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
54794	Jiang Tingting	F	1987	175	53	China	CHN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Bronze
54796	Jiang Wenwen	F	1987	175	54	China	CHN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
54796	Jiang Wenwen	F	1987	175	54	China	CHN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Bronze
55635	Christina Noelle Jones	F	1988	175	61	United States	USA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
55635	Christina Noelle Jones	F	1988	175	61	United States	USA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
58209	Naoko Kawashima	F	1981	163	55	Japan	JPN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
58806	Aynur Kerey	F	1984	172	56	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
59092	Youmna Amru Nagib Khallaf	F	1992	165	51	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
59225	Elvira Ramilevna Khasyanova	F	1981	163	57	Russia	RUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Gold
59760	Rebekah "Becky" Kim	F	1985	165	57	United States	USA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
60362	Kim Yong-Mi	F	1990	166	53	North Korea	PRK	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
61659	Hiromi Kobayashi	F	1985	161	53	Japan	JPN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
62360	Erika Komura	F	1982	164	53	Japan	JPN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
62655	Dominika Kopcik	F	1989	164	52	Canada	CAN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
64863	Yekaterina Kulpo	F	1988	176	59	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
65346	Olga Petrovna Kuzhela	F	1986	172	55	Russia	RUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Gold
66232	ve Lamoureux	F	1987	160	59	Canada	CAN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
66611	Giulia Lapi	F	1986	174	64	Italy	ITA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
67586	Erika Leal Ramrez	F	1977	172	55	Australia	AUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
67586	Erika Leal Ramrez	F	1977	172	55	Australia	AUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
70520	Tracy Little	F	1986	170	56	Canada	CAN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
70620	Liu Ou	F	1987	168	50	China	CHN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Bronze
71406	Laura Lpez Valle	F	1988	168	59	Spain	ESP	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Silver
72393	Luo Xi	F	1988	166	54	China	CHN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Bronze
73591	Elisabeth "Lisbeth" Mahn	F	1986	169	58	Austria	AUT	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
73917	Evanthia Makrygianni	F	1987	170	54	Greece	GRE	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
74869	lise Marcotte	F	1989	171	56	Canada	CAN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
76588	Ayako Matsumura	F	1982	164	56	Japan	JPN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
78132	Lila Meesseman-Bakir	F	1987	158	48	France	FRA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
78732	Gemma Mengual Civil	F	1977	173	54	Spain	ESP	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	Silver
78732	Gemma Mengual Civil	F	1977	173	54	Spain	ESP	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Silver
80912	Mai Mas'ud Amin Fahmi Mohamed	F	1990	166	53	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
87070	Andrea Michelle Nott	F	1982	175	59	United States	USA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
87070	Andrea Michelle Nott	F	1982	175	59	United States	USA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
89478	Annabelle Orme	F	1987	160	54	United States	USA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
89996	Tarren Paige Otte	F	1984	170	58	Australia	AUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
90160	Yelena Valeryevna Ovchinnikova	F	1982	173	61	Russia	RUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Gold
