id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
277	Shaimaa Abdul Aziz	F	1981	160	53	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Singles	NA
663	Sharath Kamal Achanta	M	1982	186	85	India	IND	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
1149	Neha Aggarwal	F	1990	170	67	India	IND	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Singles	NA
1290	Marcelo Vctor Aguirre	M	1993	174	66	Paraguay	PAR	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
1951	Ibrahim Al-Hasan	M	1987	179	73	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
2717	Ahmed Ali Ahmed Saleh	M	1980	179	78	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
4698	Tiago Andr Barata Feio Peixoto Apolnia	M	1986	185	76	Portugal	POR	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
7105	Andrea Bakula	F	1982	181	70	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Singles	NA
7105	Andrea Bakula	F	1982	181	70	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Team	NA
8269	Zhenqi Barthel (Sun-, -Apolnia)	F	1987	164	62	Germany	GER	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Team	NA
12430	Lucjan Sylwester Baszczyk	M	1975	170	63	Poland	POL	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
12488	Mihai Razvan Bobocica	M	1987	181	70	Italy	ITA	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
12984	Timo Boll	M	1981	181	74	Germany	GER	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
12984	Timo Boll	M	1981	181	74	Germany	GER	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Team	Silver
13598	Tamara Boro	F	1972	171	63	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Singles	NA
13598	Tamara Boro	F	1972	171	63	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Team	NA
17291	Cai Xiao Li	M	1980	178	70	Singapore	SGP	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Team	NA
18396	Alfredo Carneros Beamud	M	1979	185	88	Spain	ESP	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
