id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
158	Noha Abd Rabo	F	1987	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Heavyweight	NA
353	Rasul Abduraim	M	1989	183	74	Kyrgyzstan	KGZ	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Featherweight	NA
1689	Mildred Akinyi "Milka" Alango	F	1989	157	49	Kenya	KEN	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Flyweight	NA
2027	Maitha bint Mohammed bin Rashid Al-Maktoum	F	1980	nan	67	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Welterweight	NA
6801	Lionel Baguissi	M	1974	186	77	Gabon	GAB	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Welterweight	NA
6808	Mariam Bah	F	1976	167	57	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Featherweight	NA
6819	Nesar Ahmad Bahawi	M	1984	186	68	Afghanistan	AFG	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Featherweight	NA
8188	Mariama Dalanda Barry	F	1991	nan	67	Guinea	GUI	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Welterweight	NA
8454	Leonardo Basile	M	1983	185	94	Italy	ITA	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Heavyweight	NA
9006	Matthew Francis "Matt" Beach	M	1978	192	94	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Heavyweight	NA
9507	Dennis Bekkers	M	1981	174	68	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Featherweight	NA
9847	Mouna Ben Abderassoul	F	1984	170	67	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Welterweight	NA
9886	Khaoula Ben Hamza	F	1991	172	68	Tunisia	TUN	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Heavyweight	NA
10111	Lorena Aida Benites Valverde	F	1982	174	67	Ecuador	ECU	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Heavyweight	NA
11183	Manuela Bezzola	F	1990	164	49	Switzerland	SUI	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Flyweight	NA
11823	Deepak Bista	M	1976	171	80	Nepal	NEP	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Welterweight	NA
13599	Mickel Justin Borot	M	1975	185	84	France	FRA	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Heavyweight	NA
17352	Veronica Calabrese	F	1988	170	57	Italy	ITA	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Featherweight	NA
17730	Logan Campbell	M	1986	177	68	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Featherweight	NA
18374	Adriana Carmona Gutirrez	F	1974	177	75	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Heavyweight	NA
18392	Ryan Carneli	M	1986	170	58	Australia	AUS	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Flyweight	NA
20070	Che Chew Chan	F	1983	178	72	Malaysia	MAS	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Heavyweight	NA
20335	Chen Zhong	F	1983	183	73	China	CHN	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Heavyweight	NA
20402	Robin Haeyoun Cheong	F	1989	163	56	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Featherweight	NA
20756	Arman Konstantinovich Chilmanov	M	1984	190	84	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Heavyweight	Bronze
21359	Chu Mu-Yen	M	1982	175	58	Chinese Taipei	TPE	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Flyweight	Bronze
21408	Chika Yagazie Chukwumerije	M	1984	190	106	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Heavyweight	Bronze
22792	Dalia Contreras Rivero	F	1984	155	49	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Flyweight	Bronze
22835	Aaron Arthur Cook	M	1991	183	80	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Welterweight	NA
23652	Charlotte Rose Craig	F	1991	168	49	United States	USA	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Flyweight	NA
25770	Nadin Dawani	F	1988	179	79.5	Jordan	JOR	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Heavyweight	NA
