id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
2947	Nicols Almagro Snchez	M	1986	180	84	Spain	ESP	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
2947	Nicols Almagro Snchez	M	1986	180	84	Spain-2	ESP	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	NA
3287	Akgul Charievna Amanmuradova	F	1984	190	85	Uzbekistan	UZB	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Singles	NA
3839	Kevin Anderson	M	1986	200	86	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
3839	Kevin Anderson	M	1986	200	86	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	NA
4170	Igor Valeryevich Andreyev	M	1983	182	80	Russia	RUS	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
4170	Igor Valeryevich Andreyev	M	1983	182	80	Russia-2	RUS	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	NA
4363	Maret Ani	F	1982	175	64	Estonia	EST	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Singles	NA
4363	Maret Ani	F	1982	175	64	Estonia	EST	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Doubles	NA
5008	Rafael Edgardo Arvalo Gonzlez	M	1986	180	76	El Salvador	ESA	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
5175	Grta Arn	F	1979	180	70	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Doubles	NA
5428	Lena Sofia Alexandra Arvidsson	F	1984	176	69	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Singles	NA
5652	Simon Olof Karl Aspelin	M	1974	185	79	Sweden-2	SWE	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	Silver
6296	Viktoriya Fyodorovna "Vika" Azarenko	F	1989	183	60	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Singles	NA
6296	Viktoriya Fyodorovna "Vika" Azarenko	F	1989	183	60	Belarus-1	BLR	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Doubles	NA
6632	Timea Bacsinszky	F	1989	170	62	Switzerland	SUI	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Singles	NA
7437	Sybille Bammer	F	1980	174	64	Austria	AUT	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Singles	NA
9738	Thomaz Cocchiarali Bellucci	M	1988	187	80	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
10042	Iveta Beneov (-Melzer)	F	1983	170	56	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Singles	NA
10042	Iveta Beneov (-Melzer)	F	1983	170	56	Czech Republic-2	CZE	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Doubles	NA
10322	Tom Berdych	M	1986	195	90	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
10322	Tom Berdych	M	1986	195	90	Czech Republic-1	CZE	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	NA
11219	Mahesh Shrinivas Bhupathi	M	1974	185	88	India	IND	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	NA
11916	Jonas Lars Bjrkman	M	1972	184	83	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
