id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
12107	Erin Blanchard	F	1990	168	56	United States	USA	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
16678	Jason Nicholas Burnett	M	1987	165	68	Canada	CAN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	Silver
17937	Flavio Cannone	M	1982	165	62	Italy	ITA	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
20485	Nataliya Aleksandrovna Chernova	F	1976	158	57	Russia	RUS	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
22175	Karen Cockburn (-Turgeon)	F	1981	161	55	Canada	CAN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	Silver
29095	Anna Aleksandre Dogonadze-Lilkendey	F	1973	158	52	Germany	GER	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
29368	Dong Dong	M	1989	168	57	China	CHN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	Bronze
33322	Christopher "Chris" Estrada	M	1983	168	66	United States	USA	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
38270	Diogo Almeida Messias Ganchinho	M	1988	168	63	Portugal	POR	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
41209	Luba Golovina	F	1990	171	52	Georgia	GEO	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
46936	He Wenna	F	1989	160	50	China	CHN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	Gold
48804	Haruka Hirota	F	1984	156	48	Japan	JPN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
50641	Huang Shanshan	F	1986	157	48	China	CHN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
54436	Peter Jensen	M	1980	177	69	Denmark	DEN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
57503	Irina Vladimirovna Karavayeva	F	1975	165	52	Russia	RUS	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
58259	Nikolay Petrovich Kazak	M	1978	170	67	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
59294	Yekaterina Viktorovna Khilko	F	1982	163	51	Uzbekistan	UZB	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	Bronze
71898	Lu Chunlong	M	1989	170	58	China	CHN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	Gold
73100	Rosannagh "Rosie" MacLennan	F	1989	158	54	Canada	CAN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
82688	Olena Dmytrivna Movchan	F	1977	156	54	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
86218	Yuriy Viktorovych Nikitin	M	1978	172	62	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
93048	Grgoire Pennes	M	1984	179	68	France	FRA	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
94034	Tatyana Olegovna Petrenya	F	1982	167	53	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
96156	Lenka Popkin (Honzkov-)	F	1978	169	55	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
100021	Ana Patrcia Robert de Oliveira Rente	F	1988	158	53	Portugal	POR	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
103542	Aleksandr Anatolyevich Rusakov	M	1981	162	61	Russia	RUS	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
113383	Tetsuya Sotomura	M	1985	165	60	Japan	JPN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
114737	Henrik Stehlik	M	1981	175	67	Germany	GER	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
123145	Yasuhiro Ueyama	M	1985	162	59	Japan	JPN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
123552	Dmitry Arkadyevich Ushakov	M	1989	177	64	Russia	RUS	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
130409	Ben Wilden	M	1985	170	61	Australia	AUS	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	NA
131689	Claire Wright	F	1979	167	54	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	NA
