id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
623	Irina Alekseyevna Abysova	F	1981	175	56	Russia	RUS	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA
1190	Simon Agoston	M	1977	179	64	Austria	AUT	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
2331	Marko Albert	M	1979	189	78	Estonia	EST	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
2849	Katherine Jessie Jean "Kate" Allen (-Diechtler)	F	1970	163	53	Austria	AUT	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA
5820	Courtney Atkinson	M	1980	176	68	Australia	AUS	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
6106	Hollie May Avil	F	1990	175	62	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA
9551	Frdric Belaubre	M	1980	177	62	France	FRA	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
10175	Laura Marie Bennett (Reback-)	F	1975	175	59	United States	USA	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA
10601	Sander Johannes Gerardes Berk	M	1979	181	64	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
12559	Dirk Bockel	M	1977	189	76	Luxembourg	LUX	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
13217	Charlotte Bonin	F	1987	173	60	Italy	ITA	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA
14593	Eva Maria Brambck-Dollinger	F	1978	168	57	Austria	AUT	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA
15627	Alistair Edward Brownlee	M	1988	184	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
15925	Aleksandr Aleksandrovich Bryukhankov	M	1987	184	79	Russia	RUS	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
16568	Ana Burgos Acua	F	1968	163	51	Spain	ESP	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA
20913	Daniela Chmet	F	1979	175	60	Italy	ITA	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA
21889	William Roger "Will" Clarke	M	1985	183	71	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
22552	Reinaldo Colucci	M	1986	190	72	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
23135	Adriana Faviola Corona Garca	F	1980	170	60	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA
23876	Peter Croes	M	1984	172	61	Belgium	BEL	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
