id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
156	Mahmoud Abd El-Kader	M	1985	195	94	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
203	Ahmed Abdel Naeim	M	1985	197	87	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
249	Mouni Abderrahim	F	1986	173	60	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
471	Ashraf Abou El-Hassan	M	1975	186	86	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
725	Roslandy del Valle Acosta Alvarado	F	1992	190	62	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
1221	Taismary "Tai" Agero Leiva (-Botteghi)	F	1977	175	70	Italy	ITA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
1313	Robyn Mokihana Ah Mow-Santos	F	1976	172	67	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Silver
1381	Abdalla Ahmed	M	1984	198	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
1382	Abdel Latif Ahmed	M	1984	202	90	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
1514	Tassadit Assou	F	1989	184	80	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
1753	Marina Sergeyevna Akulova	F	1986	181	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
1814	Wael Al-Aydy	M	1972	178	76	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
2520	Todor Nikolaev Aleksiev	M	1983	200	96	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
2745	Nataliya Adamovna Alimova (-Trandenkova)	F	1979	192	78	Russia	RUS	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
3790	Anderson de Oliveira Rodrigues	M	1974	190	95	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Silver
4040	Jayce Josefina Andrade Andrade	F	1984	188	72	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
4051	Bjrn Andrae	M	1981	200	97	Germany	GER	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
4801	Erika Araki	F	1984	186	78	Japan	JPN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
5353	Yevgeniya Viktorovna Artamonova-Estes	F	1975	191	75	Russia	RUS	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
6650	Mohamed Badawy	M	1986	195	91	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
7283	Lloy James Ball	M	1972	203	95	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Gold
7682	Anna Baraska (-Werbliska)	F	1984	178	66	Poland	POL	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
7708	Jenny Barazza	F	1981	188	77	Italy	ITA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
8160	Zoila Barros Fernndez	F	1976	188	72	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
9308	Agnieszka Bednarek (-Kasza)	F	1986	185	70	Poland	POL	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
10096	Nassima Saleha Benhamouda ep Akouche	F	1974	180	67	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
10357	Yury Viktorovich Berezhko	M	1984	198	97	Russia	RUS	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Bronze
10390	Lindsey Napela Berg	F	1980	173	77	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Silver
10528	Ralph Bergmann	M	1970	206	95	Germany	GER	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
11237	Bian Hongmin	M	1990	210	95	China	CHN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
11653	Emanuele Birarelli	M	1981	202	95	Italy	ITA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
11888	Novica Bjelica	M	1983	202	97	Serbia	SRB	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
