id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
1097	Georgios Afroudakis	M	1977	194	103	Greece	GRE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
1098	Khristos Afroudakis	M	1984	188	88	Greece	GRE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
1247	Iaki Aguilar Vicente	M	1984	189	82	Spain	ESP	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
4107	ngel Luis Andreo Gabn	M	1973	191	84	Spain	ESP	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
4284	Alberto Angelini	M	1975	176	85	Italy	ITA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
4549	Stavroula Antonakou	F	1982	170	57	Greece	GRE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	NA
5152	Elizabeth "Betsey" Armstrong	F	1983	188	77	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Silver
5589	Alexandra Asimaki	F	1988	171	61	Greece	GRE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	NA
6317	Anthony Lawrence "Tony" Azevedo	M	1982	186	90	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Silver
6906	Ryan Bailey	M	1976	198	111	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Silver
7627	Samir Bara	M	1974	188	95	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
9013	Gemma Beadsworth	F	1987	180	78	Australia	AUS	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Bronze
9014	Jamie Beadsworth	M	1985	193	110	Australia	AUS	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
9058	Ronald Layne Beaubien	M	1976	198	100	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Silver
9836	Olga Yevgenyevna Belyayeva	F	1985	173	64	Russia	RUS	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	NA
9973	Fabio Bencivenga	M	1976	201	97	Italy	ITA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
10013	Tibor Benedek	M	1972	190	96	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Gold
11588	Leonardo Binchi	M	1976	200	100	Italy	ITA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
11725	Pter Biros	M	1976	196	102	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Gold
13752	Miho Bokovi	M	1983	196	96	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
13801	Silvia Bosurgi	F	1979	164	59	Italy	ITA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	NA
14333	Justin Boyd	M	1989	183	86	Canada	CAN	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
14603	Chiara Ines Brancati	F	1981	178	65	Italy	ITA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	NA
14784	Fruzsina Brvik	F	1987	181	83	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	NA
15024	Drako Brguljan	M	1985	194	92	Montenegro	MNE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
15372	Brandon Brooks	M	1981	198	111	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Silver
16453	Fabrizio Buonocore	M	1977	186	85	Italy	ITA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
16584	Damir Buri	M	1981	205	115	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
16843	Andro Bulje	M	1986	200	115	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
17156	Frederike Jacobie "Mieke" Cabout	F	1986	182	70	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Gold
17374	Alessandro Calcaterra	M	1975	187	102	Italy	ITA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
17742	Richard "Richie" Campbell	M	1988	193	99	Australia	AUS	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
18178	Patricia "Patty" Cardenas	F	1985	170	73	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Silver
18743	Elisa Casanova	F	1974	185	100	Italy	ITA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	NA
21665	Aleksandar iri	M	1978	192	90	Serbia	SRB	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Bronze
23657	Kameryn Louise "Kami" Craig	F	1987	181	88	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Silver
24226	Nikita Cuffe	F	1980	179	73	Australia	AUS	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Bronze
25974	Danille de Bruijn	F	1978	172	68	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Gold
