id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
343	Abir Abdulrahman Khalil Mahmoud Khalil	F	1992	162	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Light-Heavyweight	NA
350	Mohamed Abdultwab Ibrahim Abd El-Baki	M	1987	162	69	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Featherweight	NA
719	Luz Mercedes Acosta Valdez	F	1981	164	63	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Middleweight	NA
939	Kamal Bahadur Adhikari	M	1977	163	69	Nepal	NEP	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Lightweight	NA
1278	Damaris Gabriela Aguirre Aldaz	F	1977	163	75	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Heavyweight	NA
1657	Bakhyt Beshimbekovich Akhmetov	M	1979	175	105	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Heavyweight	NA
1698	Khadzhimurat Magomedovich Akkayev	M	1985	178	105	Russia	RUS	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Middle-Heavyweight	Bronze
3195	Sergio lvarez Boulet	M	1980	155	56	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Bantamweight	NA
4003	Carlos Hernn Andica Andica	M	1984	172	85	Colombia	COL	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Light-Heavyweight	NA
4506	Darryn Anthony	M	1986	172	77	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Middleweight	NA
5391	Sedat Artu	M	1976	162	56	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Bantamweight	NA
5432	Andrey Nikolayevich Aryamnov	M	1988	172	105	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Heavyweight	Gold
7626	Jnos Barabyai	M	1984	173	77	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Middleweight	NA
7825	Giovanni Battista Bardis	M	1987	177	85	France	FRA	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Middleweight	NA
8536	Brice Vivien Batchaya Ketchanke	M	1986	172	85	Cameroon	CMR	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Light-Heavyweight	NA
8657	Anna Yevgenyevna Batyushko	F	1982	164	69	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Light-Heavyweight	NA
8937	fqan Bayramov	M	1984	167	69	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Lightweight	NA
