id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
212	Yasser Abdel Rahman Sakr	M	1978	180	120	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Super-Heavyweight, Greco-Roman	NA
257	Ali Abdo	M	1981	169	74	Australia	AUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Freestyle	NA
341	lqar Abdulov	M	1981	175	74	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Greco-Roman	NA
357	Yusup Abdusalomov	M	1978	170	84	Tajikistan	TJK	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Freestyle	Silver
514	Ara Abrahamian	M	1975	191	84	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	NA
687	Haykel Al-Achouri	M	1985	184	84	Tunisia	TUN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	NA
943	Arman Adikyan	M	1985	168	66	Armenia	ARM	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Welterweight, Greco-Roman	NA
1566	Kouadio Vincent Aka-Akesse	M	1976	180	96	France	FRA	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Heavyweight, Freestyle	NA
1633	Sezer Akgl	M	1988	160	55	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Featherweight, Freestyle	NA
1650	Bakhtiyar Shakhabutdinovich Akhmedov	M	1987	190	120	Russia	RUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Super-Heavyweight, Freestyle	Silver
1751	Ohenewa Akuffo	F	1979	169	72	Canada	CAN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Women's Heavyweight, Freestyle	NA
2203	Tapani Jarkko Ala-Huikku	M	1980	164	60	Finland	FIN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Lightweight, Greco-Roman	NA
2359	Islam-Beka Said-Tsilimovich Albiyev	M	1989	165	66	Russia	RUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Lightweight, Greco-Roman	Gold
2429	Ibrahim Erikovych Aldatov	M	1984	174	74	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Freestyle	NA
2685	Annabel Laure Ali	F	1985	176	75	Cameroon	CMR	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Women's Heavyweight, Freestyle	NA
3519	Roman Amoyan	M	1984	158	55	Armenia	ARM	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Featherweight, Greco-Roman	Bronze
3537	Marwa Al-Amri	F	1989	160	58	Tunisia	TUN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Women's Lightweight, Freestyle	NA
4050	Marcia Yuleisi Andrades Mendoza	F	1983	157	55	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Women's Lightweight, Freestyle	NA
