id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
63	Jos Luis Abajo Gmez	M	1978	194	87	Spain	ESP	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Individual	Bronze
143	Desmond "Des" Abbott	M	1987	184	87	Australia	AUS	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Bronze
580	Svetlana Olegovna Abrosimova	F	1980	188	77	Russia	RUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Bronze
627	Andreea Roxana Acatrinei	F	1992	150	40	Romania	ROU	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	Bronze
723	Osmay Acosta Duarte	M	1985	188	91	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Heavyweight	Bronze
1467	Mara Magdalena Aicega Amicarelli	F	1974	165	60	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Bronze
1698	Khadzhimurat Magomedovich Akkayev	M	1985	178	105	Russia	RUS	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Middle-Heavyweight	Bronze
2469	Virgilijus Alekna	M	1972	200	130	Lithuania	LTU	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Discus Throw	Bronze
2592	Alexandre "Alexandre Pato" Rodrigues da Silva	M	1990	179	71	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Bronze
2755	Aleksey Aleksandrovich Alipov	M	1976	175	80	Russia	RUS	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Trap	Bronze
2874	Wyatt Allen	M	1979	193	98	United States	USA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxed Eights	Bronze
2875	Sandra Louise "Sandy" Allen-Lewis	F	1979	170	59	Australia	AUS	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Bronze
3093	Lutz Altepost	M	1982	193	92	Germany	GER	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Bronze
3519	Roman Amoyan	M	1984	158	55	Armenia	ARM	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Featherweight, Greco-Roman	Bronze
3589	An Jeong-Hwa	F	1981	162	62	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Bronze
3789	nderson Lus de Abreu Oliveira	M	1988	176	77	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Bronze
3797	Brett Franklin Anderson	M	1988	193	104	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
4320	Nadine Marejke Angerer	F	1979	174	70	Germany	GER	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Bronze
4585	Olena Anatolivna Antonova	F	1972	180	95	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Discus Throw	Bronze
4977	Yordanis Arencibia Verdecia	M	1980	167	66	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Lightweight	Bronze
5159	Dylan Armstrong	M	1981	190	125	Canada	CAN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Shot Put	Bronze
5233	Virginie Arnold	F	1980	155	50	France	FRA	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Team	Bronze
5298	Jacob Joseph "Jake" Arrieta	M	1986	193	102	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
5363	Alexander Vladimirovich "Sasha" Artemev	M	1986	168	nan	United States	USA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Team All-Around	Bronze
5500	Sergei Aschwanden	M	1976	181	92	Switzerland	SUI	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Middleweight	Bronze
6130	Nazmi Avluca	M	1977	177	84	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	Bronze
6256	Luciana Paula "Lucha" Aymar	F	1978	178	59	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Bronze
6389	Mehdi Abdelhafid Baala	M	1979	183	65	France	FRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 1,500 metres	Bronze
6489	Alesya Aleksandrovna Babushkina	F	1989	170	55	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Bronze
6710	Bair Dorzhiyevich Badyonov	M	1976	178	75	Russia	RUS	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Individual	Bronze
6718	Bae Min-Hee	F	1988	169	56	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Bronze
6811	Julien Bahain	M	1986	190	93	France	FRA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Quadruple Sculls	Bronze
6979	Fatmire "Lira" Bajramaj (-Alushi)	F	1988	170	58	Germany	GER	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Bronze
7126	Georgiy Ruslanovich Balakshin	M	1980	161	51	Russia	RUS	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Flyweight	Bronze
7622	Enik Barabs-Mironcic	F	1986	181	74	Romania	ROU	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Coxed Eights	Bronze
7814	Brian David Barden	M	1981	180	86	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
7967	Patrick Gerard "Paddy" Barnes	M	1987	163	49	Ireland	IRL	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Flyweight	Bronze
8133	Mara Noel Barrionuevo	F	1984	171	58	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Bronze
