id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
21	Ragnhild Margrethe Aamodt	F	1981	163	nan	Norway	NOR	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Gold
72	Aleksey Aleksandrovich Abalmasov	M	1980	180	83	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Gold
73	Luc Abalo	M	1985	182	86	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold
93	Jol Marc Abati	M	1970	190	85	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold
583	Julien Absalon	M	1981	180	68	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Mountainbike, Cross-Country	Gold
716	Lautaro Germn Acosta	M	1988	168	72	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold
846	Valerie Kasanita Adams-Vili (-Price)	F	1985	193	120	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Shot Put	Gold
980	Rebecca "Becky" Adlington	F	1989	179	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 400 metres Freestyle	Gold
980	Rebecca "Becky" Adlington	F	1989	179	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 800 metres Freestyle	Gold
1017	Nathan Ghar-Jun Adrian	M	1989	198	100	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Gold
1169	Marilyn Agliotti	F	1979	172	58	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Gold
1220	Sergio Leonel Agero del Castillo	M	1988	172	74	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold
1498	Charles Benedict "Ben" Ainslie	M	1977	183	90	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed One Person Dinghy	Gold
1540	Artur Surenovych Aivazian	M	1973	177	88	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Prone, 50 metres	Gold
2359	Islam-Beka Said-Tsilimovich Albiyev	M	1989	165	66	Russia	RUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Lightweight, Greco-Roman	Gold
2762	Margarita Sergeyevna Aliychuk	F	1991	174	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Gold
3761	Mads Christian Kruse Andersen	M	1978	187	75	Denmark	DEN	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Coxless Fours	Gold
4505	Carmelo Kyan Anthony	M	1984	203	109	United States	USA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	Gold
5150	Aaron Nigel Armstrong	M	1978	173	70	Trinidad and Tobago	TTO	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 100 metres Relay	Gold
5167	Kristin Ann Armstrong (-Savola)	F	1974	173	58	United States	USA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Individual Time Trial	Gold
5432	Andrey Nikolayevich Aryamnov	M	1988	172	105	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Heavyweight	Gold
5559	Thomas John Mitchell "Tom" Ashley	M	1984	188	70	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Windsurfer	Gold
5971	Seimone Delicia Augustus	F	1984	183	74	United States	USA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Gold
6278	Sarah Lianne Ayton (-Dempsey)	F	1980	167	63	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	Gold
6934	Angie Lee Bainbridge	F	1990	181	67	Australia	AUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 200 metres Freestyle Relay	Gold
7283	Lloy James Ball	M	1972	203	95	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Gold
7482	ver Maximiliano David Banega	M	1988	175	73	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold
8051	Bronte Amelia Arnold Barratt	F	1989	171	59	Australia	AUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 200 metres Freestyle Relay	Gold
8655	Mavlet Alavdinovich Batyrov	M	1984	160	60	Russia	RUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Lightweight, Freestyle	Gold
9487	Kenenisa Bekele Beyecha	M	1982	165	56	Ethiopia	ETH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 5,000 metres	Gold
9487	Kenenisa Bekele Beyecha	M	1982	165	56	Ethiopia	ETH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 10,000 metres	Gold
10013	Tibor Benedek	M	1972	190	96	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Gold
10337	Richard "Ricky" Berens	M	1988	188	93	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 200 metres Freestyle Relay	Gold
10674	Alain Andr Louis Edmond Bernard	M	1983	196	90	France	FRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Freestyle	Gold
11347	Sebastian Friedrich Felix Biederlack	M	1982	176	73	Germany	GER	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Gold
11601	Abhinav Bindra	M	1983	173	70	India	IND	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Rifle, 10 metres	Gold
11671	Suzanne Brigit "Sue" Bird	F	1981	175	66	United States	USA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Gold
11725	Pter Biros	M	1976	196	102	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Gold
11757	Ole Bischof	M	1980	180	81	Germany	GER	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Middleweight	Gold
12154	Leszek Robert Blanik	M	1977	163	64	Poland	POL	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Horse Vault	Gold
12244	Keston Bledman	M	1988	180	88	Trinidad and Tobago	TTO	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 100 metres Relay	Gold
12741	Aleksandr Viktorovich Bogdanovich	M	1982	191	97	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	Gold
12742	Andrey Viktorovich Bogdanovich	M	1988	193	87	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	Gold
13029	Usain St. Leo Bolt	M	1987	196	95	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 100 metres	Gold
13029	Usain St. Leo Bolt	M	1987	196	95	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	Gold
13187	Bong Jung-Keun	M	1980	190	95	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
13319	Minke Gertine Booij	F	1977	163	57	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Gold
13372	Carlos Austin Boozer, Jr.	M	1982	206	117	United States	USA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	Gold
13404	Valeriy Viktorovich Borchin	M	1987	178	63	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 20 kilometres Walk	Gold
13739	Christopher Wesson "Chris" Bosh	M	1984	208	104	United States	USA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	Gold
14299	Shannon Leigh Boxx	F	1977	172	67	United States	USA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Gold
14365	Svetlana Anatolyevna Boyko	F	1972	180	63	Russia	RUS	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Foil, Team	Gold
