id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
67	Mariya Vasilyevna Abakumova (-Tarabina)	F	1986	179	80	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	Silver
153	Monica Cecilia Abbott	F	1985	191	88	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver
357	Yusup Abdusalomov	M	1978	170	84	Tajikistan	TJK	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Freestyle	Silver
428	Elvan Abeylegesse	F	1983	159	40	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 5,000 metres	Silver
896	Olubayo Adefemi	M	1986	181	82	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
908	Ayodele "Dele" Adeleye	M	1989	190	80	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
1114	Luca Agamennoni	M	1981	187	93	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Quadruple Sculls	Silver
1313	Robyn Mokihana Ah Mow-Santos	F	1976	172	67	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Silver
1556	Ebenezer Oluwafemi "Femi" Ajilore	M	1985	185	75	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
1650	Bakhtiyar Shakhabutdinovich Akhmedov	M	1987	190	120	Russia	RUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Super-Heavyweight, Freestyle	Silver
2458	David Alegre Biosca	M	1985	184	75	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
2460	Ramn Alegre Biosca	M	1981	171	71	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
3324	Pablo "Pol" Amat Escud	M	1978	183	78	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
3361	Efetobore "Efe" Ambrose Emuobo	M	1989	187	70	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
3593	An Kum-Ae	F	1980	160	52	North Korea	PRK	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Lightweight	Silver
3790	Anderson de Oliveira Rodrigues	M	1974	190	95	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Silver
4101	Andria Suntaque	F	1978	175	65	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Silver
4240	Yekaterina Sergeyevna Andryushina	F	1986	185	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Silver
4243	Robert Sebastian Andrzejuk	M	1975	179	75	Poland	POL	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Team	Silver
4369	Victor Chinedu Anichebe	M	1988	192	94	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
4676	Onyekachi Apam	M	1987	180	79	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
4891	Eduard Arbs Borras	M	1983	174	70	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
5152	Elizabeth "Betsey" Armstrong	F	1983	188	77	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Silver
5456	Nobuharu Asahara	M	1972	179	76	Japan	JPN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 100 metres Relay	Silver
5520	Sturla sgeirsson	M	1980	182	80	Iceland	ISL	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Silver
5532	Glenn Ashby	M	1978	170	76	Australia	AUS	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed Multihull	Silver
5652	Simon Olof Karl Aspelin	M	1974	185	79	Sweden-2	SWE	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	Silver
5832	Arnr Atlason	M	1984	191	91	Iceland	ISL	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Silver
6317	Anthony Lawrence "Tony" Azevedo	M	1982	186	90	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Silver
6906	Ryan Bailey	M	1976	198	111	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Silver
6932	Andretti "Dretti" Bain	M	1986	175	65	Bahamas	BAH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 400 metres Relay	Silver
7582	Carlos Delvis Banteux Surez	M	1987	174	69	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Welterweight	Silver
7597	Bao Yingying	F	1984	172	67	China	CHN	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Sabre, Team	Silver
7717	Brbara Micheline do Monte Barbosa	F	1988	171	71	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Silver
8027	Khasan Makharbekovich Baroyev	M	1983	188	120	Russia	RUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Super-Heavyweight, Greco-Roman	Silver
